櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年2月 Feb., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 459,457,575,866元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,903,874筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,868,461,438股",,,,,,4. 成交量週轉率： 17.38%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
2061,風青    ,130850461,4141880,1199,31.59,34.05,28.6,31.63,32.4,68.94,3.09,10.39,2.58,,
4609,唐鋒實業,93282358,5709324,3084,16.33,17.8,14.1,16.12,15.1,25.17,6.36,11.91,1.3,,
2035,唐榮公司,42974425,1489426,690,28.85,30.4,27.7,28.56,29.55,N/A,0,0.43,1.48,,
2063,世鎧精密,95852132,2535763,1393,37.8,40.2,34.15,38.05,38.4,9.37,10.42,7.38,2.35,,
5009,榮剛材料,5127053121,189873783,58684,27,28.9,24.6,26.89,27.7,13.58,1.7,48.44,1.5,,
5011,久陽精密,3095659,94274,107,32.84,35.9,29,33.35,34.6,14.85,0,0.29,2.97,,
5013,強新工業,62898775,4526551,1884,13.89,14.5,13.25,13.89,13.75,6.71,12.36,4.64,0.92,,
5014,建錩實業,13825234,1686433,748,8.19,8.72,7.2,8.27,8.36,36.35,7.18,1.03,0.65,,
5015,華祺工業,78553797,4568441,1684,17.19,18.2,15.55,17.1,17.6,8.59,2.27,7.53,1.08,,
5016,松和工業,58553236,1670234,1040,35.05,37.9,32.45,34.56,35.75,9.82,6.99,3.37,1.69,,
8349,友信    ,18473648,669646,434,27.58,28.65,25.8,27.5,28.4,20,4.54,1.03,1.8,,
8930,青鋼金屬,10186906,780604,385,13.05,13.5,12.65,13.06,12.9,18.43,6.9,1.37,0.94,,
9962,有益鋼鐵,55656112,4335660,1755,12.83,13.7,11.3,12.91,13.25,8.44,14.34,4.81,1.16,,
5102,富強輪胎,73740481,3699074,1571,19.93,21.1,18.55,19.92,20.5,7.95,4.88,6.06,1.45,,
2596,綠意開發,12034909,853084,507,14.1,15.15,13.05,14.03,14.95,N/A,8.03,1.25,1.13,,
4113,聯上實業,46505540,2809858,1175,16.55,18.35,13.4,15.6,18.3,14.08,0,5.09,1.32,,
4416,三圓建設,963391,13012,13,74.03,76.3,69,75.05,74.5,11.07,4.3,0.02,2.69,,
5213,亞昕    ,443338914,18771219,7193,23.61,25.55,21,23.34,24.6,6.03,18.78,7.65,1,,
5324,士林開發,25523454,753128,339,33.88,35.8,32.7,34.1,35.2,9.57,0.85,1.54,2.49,,
5505,和旺建設,1365702679,35906311,10205,38.03,43.2,27.6,36.94,41.8,8.34,10.41,30.38,1.98,,
5506,長鴻營造,20339651,3967692,1300,5.12,5.39,4.72,5.11,5.1,13.78,0,1.96,0.59,,
5508,永信建設,378251651,10649812,4364,35.51,39.6,28,31.63,38.45,13.17,6.58,5.88,2.28,,
5511,德昌營造,304510479,10532878,4561,28.91,32.2,25.3,29.06,31.95,6.53,6.26,11.03,1.67,,
5512,力麒建設,844485590,64128413,15309,13.16,14.55,11.6,12.97,14.4,7.09,9.79,10.77,0.83,,
5514,三豐建設,21408653,889754,366,24.06,26.5,22.65,24.38,24.55,11.37,3.67,0.77,1.78,,
