櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年1月 Jan. 2010,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 634,665,897,804元",,,,,,"3. 櫃檯買賣月總成交筆數： 6,047,741筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 17,662,926,769股",,,,,,4. 成交量週轉率： 24.41%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2035,唐榮公司,1532294772,41772077,15953,36.68,39.3,30,35.2,32.4,NA,0,11.93,2.1,,,,
5007,三星科技,307504577,10534761,2688,29.18,30.85,27.05,28.7,28.2,141,4.39,4.79,1.94,,,,
5009,榮剛材料,3834934455,183992072,49535,20.84,22.5,17.15,20.39,19.05,NA,5.09,55.56,1.23,,,,
5011,久陽精密,3733,1217,4,3.1,3.1,3.1,3.1,3.1,NA,0,0,3.6,,,,
5013,強新工業,433559418,30546875,8733,14.19,15.7,12.6,13.72,12.75,NA,5.49,35.05,1.05,,,,
5014,建錩實業,273391273,18452309,5355,14.81,15.95,12.4,14.41,12.6,NA,2.38,14.87,0.87,,,,
5015,華祺工業,103986169,5896667,2152,17.63,18.6,15.8,17.52,16.55,48.68,6.04,9.72,1.08,,,,
5016,松和工業,17843307,931460,454,19.15,20,18.2,19.21,18.6,NA,13.44,2.06,1.05,,,,
8349,友信    ,11637094,485424,301,23.97,25,21.5,24.21,25,NA,2,0.78,1.75,,,,
8930,青鋼金屬,84066919,5698628,2060,14.75,15.6,12.9,14.47,13.15,NA,5.01,13.12,0.99,,,,
9962,有益鋼鐵,190020402,11892297,4261,15.97,17.5,12.8,15.53,13.7,NA,4.37,16.22,1.27,,,,
2114,鑫永銓  ,63240672,1977208,441,31.98,33.8,30,32.09,31.6,10.71,4.74,3.94,1.52,,,,
5102,富強輪胎,18620134,1591190,577,11.7,12.6,11.1,11.64,11.95,NA,4.18,2.74,0.99,,,,
2596,綠意開發,318270085,11821853,5749,26.92,29.8,23,26.09,23.55,9.98,10.61,17.36,1.61,,,,
4416,三圓建設,22628053,269306,237,84.02,95,67,79.48,85.5,24.5,2.1,0.45,3.53,,,,
5213,亞昕    ,1244921229,35176655,13779,35.39,39.8,31,34.27,35.6,15.75,2.83,34.2,2.55,,,,
5505,和旺建設,508041223,20381939,5880,24.92,30.8,18.1,24.79,25.55,65.51,0,41.68,2.1,,,,
5506,長鴻營造,231088107,48096452,16492,4.8,5.48,3.8,4.75,4.6,NA,0,18.07,0.29,,,,
