櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年04月 Apr. 10,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 630,339,981,199元",,,,,,"3. 櫃檯買賣月總成交筆數： 6,313,963筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 19,097,191,994股",,,,,,4. 成交量週轉率： 26.09%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2035,唐榮公司,482862846,14369384,6255,33.6,35.6,31.3,32.98,31.55,5.88,0,4.11,1.6,,,,
5007,三星科技,261718382,8973502,2615,29.16,30.25,28,28.89,29.35,142.62,4.14,4.08,1.94,,,,
5009,榮剛材料,3370032482,140879152,42219,23.92,26.3,21.65,23.54,22.4,NA,4.06,42.54,1.47,,,,
5011,久陽精密,466630,143510,67,3.25,4.15,2.31,2.9,4.15,45.43,0,0.04,4.41,,,,
5013,強新工業,945514443,60113025,13671,15.72,16.95,13.55,14.94,15.5,22.32,4.54,68.97,1.18,,,,
5014,建錩實業,253512409,16716454,4959,15.16,15.8,14.1,15.01,14.25,14.11,1.98,13.47,1,,,,
5015,華祺工業,85247914,4721577,1822,18.05,19.3,17,17.8,17.95,44,5.68,7.79,1.13,,,,
5016,松和工業,87611068,3849624,1808,22.75,24.8,19,21.48,23.85,25.17,11.41,8.53,1.26,,,,
8349,友信    ,22797782,811088,524,28.1,29,26.35,28.05,29,1450,1.72,1.3,2.02,,,,
8930,青鋼金屬,104581036,6924841,2498,15.1,15.85,14.4,14.99,15.2,8.01,4.42,15.41,1.13,,,,
9962,有益鋼鐵,202495047,11400772,3613,17.76,19.2,16.2,17.55,16.95,12.31,3.4,15.55,1.49,,,,
