櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年11月 Nov. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 341,923,478,655元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,336,993筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,296,206,197股",,,,,,4. 成交量週轉率： 12.62%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5013,強新工業,466444706,24822205,7505,18.79,20,17.6,18.43,17.8,6.52,0,28.48,1.21
5014,建錩實業,31910615,2945647,1088,10.83,11.2,10.45,10.77,10.6,176.67,3.79,2.31,0.75
5015,華祺工業,15644729,1069409,545,14.62,15.2,14.2,14.7,14.4,28.80,6.84,1.76,0.98
5016,松和工業,138419359,4677991,2362,29.58,31,28.15,29.22,28.6,6.53,1.02,10.37,1.37
8349,友信    ,56718333,2494066,1064,22.74,24.05,22,22.59,23.15,18.52,1.74,3.86,1.53
8930,青鋼金屬,58244350,3698107,1293,15.74,16.6,15,15.62,15.2,9.38,4.32,7,1.03
9962,有益鋼鐵,44488075,2624978,1099,16.94,17.5,16.45,16.8,16.8,9.60,4.16,3.35,1.43
2114,鑫永銓  ,44117444,1470071,704,30.01,31.4,29.2,29.95,29.9,10.31,8.3,2.44,1.43
5102,富強輪胎,17867000,1351000,340,13.22,13.9,12.7,13.17,12.9,14.02,0,2.32,1.02
2596,綠意開發,29099500,1606298,735,18.11,18.7,17.35,18.17,18.2,10.96,8.19,2.36,1.24
4113,聯上實業,36445402,2326338,1296,15.66,16.75,14.6,15.35,15,23.08,0,4.21,1.23
4416,三圓建設,14777754,173329,104,85.25,91.4,82.2,85.24,85,23.55,4.23,0.29,3.51
5213,亞昕    ,851504731,24675901,10475,34.5,36.4,32.2,34.16,34.5,4.94,7.9,15.46,1.78
5505,和旺建設,2502513823,51173832,23962,48.9,52,44.55,47.66,47.55,N/A,1.38,57.38,3.48
5506,長鴻營造,143962077,25893934,4203,5.55,6.03,5.06,5.56,30.25,N/A,0,7.41,0.64
5508,永信建設,301327983,10947452,1428,27.52,31.4,28.2,29.59,25.2,13.10,8.87,5.97,1.76
5511,德昌營造,641969846,25844890,9846,24.83,26.9,21.05,24.2,19,10.63,4.83,31.4,1.46
5512,力麒建設,3391929438,182105510,40407,18.62,19.55,17.15,18.29,21.8,7.76,6.87,33.3,1.1
5514,三豐建設,51175713,2272846,802,22.51,23.05,21.8,22.46,11.6,31.14,3.61,2.13,1.76
5516,雙喜    ,4037992,347455,189,11.62,12.3,11.3,11.58,27.2,8.99,4.29,0.91,0.96
5519,隆大營建,72750831,2807032,1440,25.91,28,24.15,26.56,24.2,9.10,4.21,4.01,2.04
5520,力泰建設,7875860,333190,235,23.63,24.2,22.8,23.45,11.75,12.28,6.41,0.47,0.93
5521,工信    ,869070363,78462129,15284,11.07,11.9,10.4,10.76,9.25,N/A,0,22.58,2.22
5523,宏都建設,52867492,5747703,2318,9.19,9.9,8.85,9.21,9.8,N/A,0,5.26,0.83
5529,志嘉建設,11915644,1262301,578,9.43,10.35,8.8,9.35,0,N/A,5.19,2.61,0.73
5530,大漢建設,3557881115,42884212,24811,82.96,88.9,77,81.91,81,36.65,0,11.22,6.99
6177,達麗建設,85485620,3047609,1115,28.05,28.9,27.5,27.98,28.1,15.11,5.17,3.87,2.32
6212,理銘科技,8748281,665906,197,13.13,13.95,12.6,13.31,12.9,7.82,0,0.65,1.52
2636,台驊國際,149256853,4954022,2252,30.12,32,28.8,30.08,30.3,12.17,2.26,9.63,1.8
5601,台聯貨櫃,5502688,345502,164,15.92,16.8,15.5,16.14,16.15,62.12,1.36,0.48,0.82
5603,陸海交通,19824924,1655147,617,11.97,12.7,11.55,11.91,11.8,53.64,0,2.63,0.87
5604,中連貨運,44929396,1754776,775,25.6,26.3,25.1,25.67,25.75,12.03,4.58,1.61,1.25
5609,中菲行  ,318601442,11726004,5931,27.17,28.95,25.75,26.97,26.1,11.70,4.71,8.95,1.86
