櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年08月 Aug. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 344,867,404,777元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,701,055筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,265,894,136股",,,,,,4. 成交量週轉率： 13.94%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5007,三星科技,358764119,7233033,3865,49.6,53.1,46.2,49.21,49.5,14.95,3.91,3.29,3.04
5009,榮剛材料,5254526562,175482471,61132,29.94,35.95,24.35,30.45,28.75,15.97,1.63,45.24,1.6
5011,久陽精密,1142332,37609,55,30.37,33.85,28,30.87,30.8,22.81,0,0.12,2.93
5013,強新工業,150424447,9499712,3289,15.83,19.15,13.3,14.97,15.1,5.28,11.25,9.73,0.94
5014,建錩實業,56112131,5910857,1581,9.49,10.45,8.36,9.62,9.88,17.03,4.04,3.75,0.77
5015,華祺工業,116325034,6661750,2841,17.46,20.85,15.6,17.09,17.5,11.29,2.28,10.99,1.14
5016,松和工業,178789269,4472644,1556,39.97,42.55,35.5,39.64,39.9,10,6.26,9.01,1.84
8349,友信    ,12646446,464925,376,27.2,28,25.25,27.36,27,17.42,1.48,0.72,1.89
8930,青鋼金屬,86952487,5828898,1889,14.91,17.1,13.3,14.86,14.25,15,6.24,10.42,1.07
9962,有益鋼鐵,76959315,4717490,2147,16.31,18.45,14.25,15.74,14.8,6.98,12.83,5.23,1.14
5102,富強輪胎,341312597,12718225,5882,26.83,31.3,23.05,26.69,27.5,11.6,3.63,21.88,1.94
