櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年6月 Jun., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 183,475,481,610元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,126,927筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,415,241,305股",,,,,,4. 成交量週轉率： 6.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4609,唐鋒實業,4627951,421316,313,10.98,11.55,10.6,10.97,10.95,N/A,8.76,0.88,0.94
2035,唐榮公司,46439671,1664249,924,27.9,29.05,25.15,27.38,29,21.8,0,0.48,1.31
2063,世鎧精密,11740662,373792,259,31.4,34.4,29.1,31.89,33.15,13.15,12.06,1.09,2.01
5009,榮剛材料,3150757882,109641221,40746,28.73,32.65,26.15,28.8,26.9,10.15,1.74,27.49,1.35
5011,久陽精密,15961274,423073,87,37.72,39.6,35.3,38.02,37.25,7.81,0,1.3,2.56
5013,強新工業,15053494,1282835,654,11.73,12.25,11.2,11.82,11.8,7.66,4.23,1.31,0.76
5014,建錩實業,7910590,1149797,363,6.87,7.25,6.35,6.96,6.99,N/A,8.58,0.7,0.54
5015,華祺工業,32556659,2095144,906,15.53,16.25,14,15.45,14.1,11.95,10.63,3.46,0.88
5016,松和工業,12176914,428500,292,28.41,30.1,27.4,28.74,30.1,8.72,8.3,0.86,1.38
8349,友信    ,87388651,2794223,366,31.27,31.5,28.4,30.11,29.75,14.58,4.33,4.28,1.83
8930,青鋼金屬,4332896,376580,191,11.5,11.75,11.1,11.53,11.6,46.4,7.67,0.66,0.84
9962,有益鋼鐵,20533691,1879166,848,10.92,11.75,9.62,10.5,10.85,72.33,17.51,2.08,0.97
5102,富強輪胎,14385265,795185,274,18.09,19,16.9,17.93,18.7,12.38,5.34,1.3,1.32
2596,綠意開發,8449995,529149,220,15.96,16.75,15.5,16.22,16.3,18.11,7.36,0.78,1.14
3266,昇陽開發,40347521,2721060,1157,14.82,15.6,14,14.63,15,15.96,0,2.21,1.07
4113,聯上實業,72134711,3183113,1165,22.66,23.95,21.8,22.57,22.5,17.86,0,5.52,1.59
4416,三圓建設,2918031,41213,26,70.8,74.7,66.2,70.38,70.3,11.92,4.55,0.07,2.23
5213,亞昕    ,108533051,4692234,1586,23.13,23.7,22.15,23.08,23,29.87,20.08,1.93,1.23
5324,士林開發,111763174,2865949,363,38.99,41,35.9,39.18,39.7,6.9,0.75,5.85,2.17
5505,和旺建設,904334822,25126960,8142,35.99,38.8,31.05,35.99,36.2,N/A,12.01,21.15,1.89
5506,長鴻營造,20370354,2551996,954,7.98,8.26,7.62,7.97,7.94,29.41,0,1.62,0.68
5508,永信建設,203021306,5064744,1469,40.08,43.5,39.2,41.36,42.1,44.32,6,2.8,2.51
5511,德昌營造,96638400,3344822,1461,28.89,30.2,27.6,28.58,30,4.92,6.66,3.5,1.35
5512,力麒建設,416274884,32231444,9063,12.91,14.2,10.8,12.09,13.95,13.16,10.1,5.48,0.8
5514,三豐建設,71676467,3180599,237,22.43,22.85,20.6,21.25,20.8,9,4.32,2.74,1.39
5516,雙喜    ,13918142,988726,657,14.07,15.05,13.25,14,14.3,2.85,3.49,2.58,0.86
5519,隆大營建,232094789,6380734,2805,36.37,38.35,34,36.35,38.05,11.6,9.85,7.19,2.18
5520,力泰建設,3755116,179676,126,20.89,22.3,20.15,21.31,21.2,14.72,6.36,0.25,0.82
5521,工信    ,49005089,6351524,2073,7.71,7.95,7.35,7.69,7.91,13.64,3.79,1.83,0.64
5523,宏都建設,27814107,3588607,726,7.75,8.53,7.35,7.78,7.5,N/A,0,2.03,0.84
5529,志嘉建設,46816038,2858163,1398,16.37,18.9,13.85,15.25,15.5,N/A,6.45,5.36,1.59
6177,達麗建設,113561786,4120636,1452,27.55,30,24.55,26.13,29.6,22.95,10.43,3.43,2.01
6212,理銘科技,956068,84808,73,11.27,11.9,10.5,11.38,11.75,61.84,0,0.08,1.27
6219,富旺    ,7019822,351355,170,19.97,20.25,19.7,19.97,20.05,N/A,0,0.26,2.39
6264,德士通  ,15890985,1617952,892,9.82,10.45,9.12,9.75,9.62,N/A,0,1.18,1.3
9946,金革科技,71051233,5283165,2104,13.44,15.15,13,13.65,13.1,5.53,0,2.64,0.91
2636,台驊國際,34483451,1672311,875,20.62,22,19.6,20.65,21.4,13.54,12.66,2.62,1.14
5601,台聯貨櫃,1432603,81110,52,17.66,18.3,17.3,18.02,18.3,35.88,1.42,0.11,0.91
5603,陸海交通,8623824,854316,355,10.09,10.35,9.92,10.11,10.2,N/A,0,1.36,0.73
5604,中連貨運,37848134,1508092,459,25.09,25.95,23.5,25.3,25,18.8,5.6,1.39,1
5609,中菲行  ,86038662,4800887,2591,17.92,18.8,16.55,17.83,18.7,14.61,8.07,3.56,1.39
1259,安心    ,52695969,394595,700,133.54,137.5,127,134.64,135.5,23.9,2.21,1.34,2.61
2718,桃園店  ,4349589,101118,69,43.01,44.2,41.2,43.39,43,32.09,2.2,0.45,1.65
2719,燦星旅  ,43052842,1530024,1261,28.13,29.7,26.65,27.79,28.2,34.81,5.78,4.45,1.94
2724,F-富驛  ,339134150,4030674,1823,84.13,92,71.8,80.17,80.7,61.14,0.61,13.67,3.64
5701,劍湖山  ,57004822,10572807,3131,5.39,5.59,5.05,5.41,5.49,N/A,0,2.54,0.79
5703,亞都麗緻,4902340,245204,144,19.99,21.15,19.25,20.4,20.6,36.79,1.21,0.35,1.67
5704,老爺知  ,2563704,140297,202,18.27,19.25,17.8,18.38,18.1,21.29,1.65,0.36,1.36
