櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年06月 Jun. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,341,054,350元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,553,086筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,178,032,248股",,,,,,4. 成交量週轉率： 12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5009,榮剛材料,3658580416,106743572,41442,34.27,36.75,31.5,34.04,32.6,23.62,0,30.19,1.92
5011,久陽精密,5645888,162917,201,34.65,41.5,24.15,35.13,38.95,134.31,0,0.5,4.03
5013,強新工業,64027618,3483439,1275,18.38,19.15,17.6,18.4,18.45,5.97,0,4,1.15
5014,建錩實業,44276606,4121623,1249,10.74,11.2,10.2,10.69,10.35,13.10,3.9,2.61,0.77
5015,華祺工業,67627971,4088124,1774,16.54,17.5,15.65,16.43,16.3,23.97,2.46,6.74,1.07
5016,松和工業,156532924,3423873,1629,45.71,47.2,43.2,45.51,45.2,11.33,0.67,7.59,2.06
8349,友信    ,22751053,810721,593,28.06,29.3,27,27.86,27.6,17.25,1.39,1.25,1.8
8930,青鋼金屬,380239782,22450410,7465,16.93,18.1,14.7,15.99,17.1,12.21,4.04,40.64,1.2
9962,有益鋼鐵,63438741,3230849,1351,19.63,20.55,18.5,19.68,19.4,7.79,3.68,4.12,1.49
5102,富強輪胎,118969051,5401374,2161,22.02,23.95,20.6,21.56,21.45,11.79,0,9.29,1.55
2596,綠意開發,22032309,1246720,503,17.67,18.55,17,17.48,17.3,66.54,8.67,1.83,1.18
4113,聯上實業,77484508,4575801,2153,16.93,18.2,15.45,16.68,16.1,115.00,0,8.29,1.27
4416,三圓建設,2265710,29524,29,76.73,79.8,74,77.88,77.5,12.48,4.59,0.05,2.69
5213,亞昕    ,459341094,11498728,4834,39.94,40.9,39,39.74,40,5.10,6.75,7.2,1.66
5505,和旺建設,2275879084,47818530,17580,47.59,51,43.1,46.91,46.25,7.58,0,43.79,2.11
5506,長鴻營造,60937203,7714095,3760,7.89,8.29,7.6,7.88,8,19.05,0,3.81,0.95
5508,永信建設,245110119,6754948,1462,36.28,36.1,32,33.31,35.5,11.34,7.29,3.68,1.91
5511,德昌營造,42382655,1787556,683,23.7,24.2,23.4,23.79,23.8,6.98,5.04,2.17,1.24
5512,力麒建設,1239183686,74306331,19615,16.67,17.25,16.2,16.54,16.5,6.93,7.8,13.51,0.9
5514,三豐建設,40621897,1650491,797,24.61,26.1,23.15,24.67,26.1,19.62,3.21,1.55,1.9
5516,雙喜    ,12096233,886266,428,13.64,14.5,12.35,13.62,13.95,15.50,3.59,2.31,1.13
5519,隆大營建,189641000,4733165,1995,40.06,41.4,39.2,39.83,40.45,5.46,2.91,6.76,2.13
5520,力泰建設,6657350,263335,232,25.28,25.8,24.6,25.22,25.6,20.65,5.85,0.37,0.99
5521,工信    ,237379946,21676498,4393,10.95,11.45,10.65,10.92,10.85,22.14,0,6.24,0.91
5523,宏都建設,485806108,34721579,11219,13.99,15.7,11.75,13.47,15.2,63.33,0,31.76,1.51
5529,志嘉建設,200656688,15798798,4492,12.7,14.15,9.88,12.22,13.3,N/A,4.16,32.61,1.06
5530,龍巖    ,11087988931,97035302,48755,114.26,129,101.5,115.9,118.5,63.03,0,24.31,7.56
6177,達麗建設,54494156,1576989,667,34.55,37,33.55,34.5,34.25,7.33,4.21,1.7,2.01
6212,理銘科技,6983636,550894,124,12.67,12.9,12.5,12.69,12.6,57.27,0,0.54,1.4
2636,台驊國際,156667497,4836797,1979,32.39,33.9,31.5,31.99,32,12.31,2.16,8.09,1.63
5601,台聯貨櫃,3130681,184302,131,16.98,18,16.3,17.17,16.55,68.96,1.34,0.26,0.83
5603,陸海交通,67017804,4243912,1297,15.79,16.55,14,15.64,14.5,111.54,0,6.74,1.14
5604,中連貨運,67303977,2527107,1029,26.63,27.25,26.3,26.64,27.1,12.49,7.41,2.32,1.16
5609,中菲行  ,89654341,3560147,1980,25.18,26.25,24.1,25.1,25,10.29,4.96,2.72,1.81
2718,桃園店  ,48203562,1215070,639,39.67,41.45,38,39.43,39.15,27.19,1.13,5.38,2.1
5701,劍湖山  ,542895049,52057635,14404,10.42,10.9,9.9,10.29,10.3,N/A,0,12.52,1.32
5703,亞都麗緻,47414073,1483061,856,31.97,33.3,30.1,31.71,31,38.27,0,2.11,2.56
5704,老爺知  ,6474509,283452,221,22.84,23.4,22.2,22.9,22.7,44.51,0.88,0.73,1.77
5706,鳳凰國際,3937385763,48536902,30528,81.12,109,72,78.96,76.8,16.48,7.93,78.98,2.87
5820,日盛金控,473062228,35625719,7990,13.27,13.65,12.65,13.23,13.6,12.59,0,1.51,1.1
6008,凱基證券,1917390203,129187598,31109,14.84,15.3,14.4,14.83,15.15,14.16,3.08,4.03,0.98
6015,宏遠證券,72222210,9316217,2130,7.75,8.11,7.43,7.73,7.68,85.33,0,2.04,0.8
6016,康和證券,136638627,14806618,3748,9.22,9.7,8.9,9.22,9.1,45.50,4.4,2.17,0.77
6020,大展證券,16271052,921089,264,17.66,18,17.3,17.67,18,21.69,3,0.4,1.19
6021,大慶證券,67352872,4251060,1368,15.84,16.5,15.35,15.89,15.75,12.80,3.22,1.52,0.99
6022,大眾證  ,81060973,7064846,1914,11.47,12.3,10.9,11.43,11.3,41.85,19.45,1.81,0.9
6023,寶來期  ,58236435,1545347,1005,37.68,38.85,36,37.54,36.55,13.59,4.35,1.18,1.51
6024,群益期  ,25514420,931223,491,27.39,28,26.7,27.39,27.1,11.68,6.48,1.1,1.34
2916,滿心企業,271198257,9806859,4635,27.65,30.2,24.6,27.28,25.25,11.17,7.95,21.12,1.5
5902,德記洋行,15526133,1411634,643,10.99,11.55,10.5,10.89,10.65,N/A,0,1.49,1.64
5903,全家    ,1216194222,8912918,6308,136.45,143.5,126.5,135.11,141,33.49,2.03,3.99,7.22
5904,寶雅國際,264317736,7449336,3236,35.48,37.4,34.2,35.26,36.75,10.75,6.92,8.44,1.97
5905,南仁湖  ,479177527,28629362,11130,16.73,17.9,15.45,16.42,16,N/A,0,13.54,1.41
8941,關中    ,12109136,1204955,428,10.04,10.65,9.05,9.9,9.41,N/A,0,0.92,1.73
9960,邁達康  ,60729578,2710594,1483,22.4,24.1,19.3,22.27,21.1,12.63,10.34,8.73,1.58
1584,精剛精密,629195255,16980180,8702,37.05,40.9,32.3,35.97,34.6,29.57,0,24.79,1.91
2221,大甲    ,596697663,24833082,12889,24.02,26.4,20.25,22.98,22.25,17.80,0,58.53,1.75
3284,太普高  ,47719739,3074408,1068,15.52,17.35,13.9,15.63,14.5,12.83,7.14,5.82,1.06
3388,崇越電通,212309942,2522953,1811,84.15,86.5,80.7,83.9,85.2,10.54,5.04,4.53,1.9
4430,耀億    ,1306336430,17532901,8889,74.5,81.8,68,74.27,77.1,43.07,2.75,40.03,2.84
5312,寶島科  ,1949190256,19171534,13020,101.67,113,90.5,99.33,99.3,25.53,2.13,31.92,5.29
6186,晶磊興業,21313624,1565875,799,13.61,14.55,12.2,13.62,14.2,N/A,0,5.19,1.29
6803,崑鼎投控,915514512,5972327,4434,153.29,163.5,143,151.42,152.5,20.61,3.96,10.34,3.66
8390,金益鼎  ,655000506,13976444,6870,46.86,49.2,44.1,46.17,48.35,17.02,0,21.37,2.41
8401,白紗科技,92935304,3120848,1734,29.77,33.1,27,30.13,29.3,11.63,7.24,8.47,1.76
8705,東隆五金,11585268,387869,276,29.86,30.5,29,29.92,29.7,12.69,8.22,0.47,2.03
8905,裕國    ,21469953,1456905,583,14.73,15.2,14.3,14.75,15,14.29,2.72,1.22,1.05
8906,花王企業,10770880,1408736,571,7.64,8,7.26,7.63,7.28,N/A,0,2.74,0.86
8913,華夏資融,50632838,2370141,1122,21.36,22.35,20,21.31,20.95,130.94,1.92,5.25,1.2
8916,光隆    ,30812129,1536408,724,20.05,20.9,19.55,20.11,20.35,11.76,3.27,1.73,1.01
8921,沈氏印刷,3561560,249226,81,14.29,14.7,14,14.27,14.1,13.30,4.25,0.53,0.81
8923,時報出版,9226178,459067,314,20.1,21.3,18,19.97,18.8,15.28,6.02,1.51,1.24
8924,大田精密,96874171,3265613,2042,29.66,31.9,27.7,29.05,28.6,24.24,8.74,2.69,1.66
8925,偉盟工業,1202914600,61300123,14858,19.62,21,18.3,19.38,19.05,61.45,5.19,22.08,1.47
8928,鉅明    ,14925268,1577524,629,9.46,10.25,8.31,9.24,8.31,N/A,5.39,2.48,0.98
8929,富堡工業,42780242,1249981,779,34.22,39.95,29.2,35.21,32.1,11.67,5.8,4.66,1.61
