櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年10月 Oct. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 467,262,462,066元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,881,399筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 14,296,664,073股",,,,,,4. 成交量週轉率： 19.69%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2035,唐榮公司,1217339156,35052617,14534,34.72,36.85,31,34.15,32.5,NA,0,10.02,2.11,,,,
5007,三星科技,166238662,7863724,1423,21.13,22.5,19.2,20.95,19.75,98.75,6.27,3.58,1.36,,,,
5009,榮剛材料,654985037,39162047,12683,16.72,17.5,15.3,16.57,15.6,NA,6.21,11.83,1,,,,
5011,久陽精密,46409,12265,9,3.78,4,3.57,3.8,3.57,NA,0,0.04,4.15,,,,
5013,強新工業,205138599,17878449,5013,11.47,12.5,10.6,11.12,10.95,NA,6.39,20.51,0.9,,,,
5014,建錩實業,59596095,5108172,1763,11.66,12.3,10.8,11.6,11.3,NA,2.65,4.12,0.78,,,,
5015,華祺工業,35806391,2329091,1040,15.37,16.5,14.7,15.22,15.75,46.32,6.34,3.84,1.03,,,,
5016,松和工業,12521496,676683,307,18.5,19.7,18,18.79,18.6,NA,13.44,1.5,1.05,,,,
8349,友信    ,4314273,222138,217,19.42,20.1,18.9,19.48,19.3,NA,2.59,0.36,1.35,,,,
8930,青鋼金屬,40200354,3757194,1412,10.69,11.5,9.95,10.36,10.9,NA,6.05,8.65,0.82,,,,
9962,有益鋼鐵,53129596,3840019,1499,13.83,14.7,12.55,13.72,13.35,NA,4.49,5.24,1.24,,,,
