櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年09月 Sep. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 551,922,632,649元",,,,,,"3. 櫃檯買賣月總成交筆數： 5,259,643筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 15,229,440,295股",,,,,,4. 成交量週轉率： 20.98%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2035,唐榮公司,516884318,15988426,7268,32.32,34.15,30.55,32.05,31.35,NA,0,4.57,2.19,,,,
5007,三星科技,195730504,10660856,2071,18.35,21.4,16.9,18.52,20.6,17.46,6.01,4.85,1.42,,,,
5009,榮剛材料,475465051,27869940,10322,17.06,17.85,16.4,16.97,16.6,NA,5.84,8.42,0.98,,,,
5011,久陽精密,41904,10492,12,3.99,4.15,3.88,3.97,4.01,NA,0,0.03,4.83,,,,
5013,強新工業,94239950,8559372,3377,11.01,11.75,10.45,10.9,10.95,NA,6.39,9.82,0.88,,,,
5014,建錩實業,65527350,5523130,1691,11.86,12.55,10.8,11.74,11.65,NA,2.57,4.45,0.82,,,,
5015,華祺工業,16889200,1136652,549,14.85,15.4,14.5,14.83,14.7,12.56,6.8,1.87,0.96,,,,
5016,松和工業,18125860,1011960,503,17.91,18.5,17.3,18.17,18.3,NA,13.66,2.24,0.98,,,,
8349,友信    ,10115452,527910,366,19.16,20.5,16.6,18.09,20.2,43.91,2.47,0.85,1.33,,,,
8930,青鋼金屬,15204249,1519303,609,10,10.2,9.81,10.01,9.96,NA,6.62,3.5,0.79,,,,
9962,有益鋼鐵,39607643,3005776,979,13.17,13.65,12.35,13.22,13.05,NA,4.59,4.1,1.25,,,,
2114,鑫永銓  ,121038725,4280195,1323,28.27,30.35,26,28.11,26.85,9.69,5.58,8.53,1.29,,,,
5102,富強輪胎,45833552,4138131,915,11.07,12.3,9.86,10.56,11.2,NA,4.46,7.12,0.94,,,,
2596,綠意開發,78854970,3542098,1839,22.26,23.6,21,22.1,21.75,9.26,11.49,5.2,1.34,,,,
4416,三圓建設,19036442,284293,122,66.96,71.9,62.3,67.19,70,23.33,2.57,0.47,3,,,,
5213,亞昕    ,661222504,22789750,9719,29.01,32.5,25.55,28.7,27.5,13.48,3.67,22.16,1.89,,,,
5505,和旺建設,27298590,1668502,579,16.36,18.8,14.7,16.08,16.05,NA,0,3.55,1.53,,,,
5506,長鴻營造,9791081,1976713,697,4.95,5.49,4.47,5.03,5.47,NA,0,2.99,0.36,,,,
5508,永信建設,249668323,6116409,4372,40.81,43,38.8,40.55,39.35,11.51,19.72,3.33,1.76,,,,
5511,德昌營造,106305201,7631592,1990,13.92,15.05,13.45,14.18,13.95,9.55,7.16,9.27,0.89,,,,
5512,力麒建設,1630050336,115097223,21390,14.16,15.5,12.75,13.91,15,16.13,3.33,26.9,0.86,,,,
5514,三豐建設,24404464,1777494,601,13.72,14.1,12.75,13.77,14.1,19.05,7.8,1.8,1.11,,,,
