櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
101年1月 Jan. 12,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 172,173,857,770元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,095,298筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,980,615,626股",,,,,,4. 成交量週轉率： 7.29%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
2063,世鎧精密,19067798,580795,400,32.83,34.9,31.55,32.58,34.35,8.38,11.64,1.69,2.1
5009,榮剛材料,1579004321,66730559,22784,23.66,25,22.5,23.58,24.75,12.13,1.89,17.02,1.34
5011,久陽精密,518126,17371,25,29.83,32.25,27.65,30.13,28.4,12.19,0,0.05,2.44
5013,強新工業,25680793,2048914,840,12.53,13.55,12.1,12.46,13.25,6.46,12.83,2.1,0.89
5014,建錩實業,6180067,881989,349,7,7.2,6.85,7.01,7.2,31.3,8.33,0.54,0.56
5015,華祺工業,11391484,751685,420,15.15,15.8,14.85,15.17,15.5,7.56,2.58,1.24,0.95
5016,松和工業,14640800,476050,310,30.75,32.5,28.65,30.34,32.45,8.91,7.7,0.96,1.54
8349,友信    ,5849560,224847,162,26.01,27,24.25,26.04,25.75,18.13,5,0.35,1.63
8930,青鋼金屬,2836424,218564,135,12.97,13.85,12.55,13.04,12.95,18.5,6.87,0.38,0.94
9962,有益鋼鐵,21913375,2113327,784,10.36,11.2,9.8,10.11,11.2,7.13,16.96,2.34,0.98
5102,富強輪胎,28932761,1644405,776,17.59,18.9,16.7,17.38,18.6,7.21,5.37,2.69,1.31
2596,綠意開發,7351010,572270,235,12.84,13.25,12.5,12.93,13.25,N/A,9.05,0.84,1.01
4113,聯上實業,7642721,581658,299,13.13,13.7,12.6,13.18,13.45,10.35,0,1.05,0.97
4416,三圓建設,942219,13506,15,69.84,73.6,65,70.53,73.6,10.94,4.34,0.02,2.65
5213,亞昕    ,159207808,7740695,2821,20.56,22.5,19.55,20.54,21,5.15,22,3.15,0.86
5324,士林開發,71234312,2110297,134,33.75,35.6,31,33.29,33.65,9.14,0.89,4.31,2.38
5505,和旺建設,192074702,8437152,3572,22.76,26.55,19.7,23.3,26.55,5.3,16.38,7.14,1.26
5506,長鴻營造,6810863,1472012,504,4.62,4.84,4.45,4.63,4.8,12.97,0,0.73,0.56
5508,永信建設,28692360,1044887,566,27.45,28.5,26.85,27.55,28.3,9.69,8.93,0.58,1.68
5511,德昌營造,95918039,3876925,1539,24.74,25.6,22.95,24.16,25.2,5.15,7.93,4.06,1.32
5512,力麒建設,290370408,26721243,7390,10.86,11.9,10,10.63,11.7,5.76,12.05,4.49,0.68
5514,三豐建設,8080173,361026,198,22.38,23.6,21.4,22.3,23.1,10.69,3.89,0.31,1.68
5516,雙喜    ,12659151,721206,343,17.55,18.65,17.05,17.66,18.45,7.92,2.71,1.88,1.32
5519,隆大營建,102154032,3993620,1531,25.57,27.7,23.5,25.38,27.5,4.22,13.63,4.5,1.68
5520,力泰建設,1520375,77116,35,19.71,20.5,19.35,19.83,19.75,14.21,6.83,0.11,0.78
5521,工信    ,96190730,12861613,2654,7.47,7.8,7.16,7.42,7.75,33.7,3.87,3.7,0.66
5523,宏都建設,8302214,950334,391,8.73,9.3,8.51,8.75,8.8,N/A,0,0.54,0.89
5529,志嘉建設,4270318,384113,129,11.11,12,10.6,11.16,11.35,N/A,8.81,0.72,1.07
5530,龍巖    ,1915962052,21480472,14177,89.19,96.3,85.4,88.08,96.3,26.53,1.55,5.38,5.58
6177,達麗建設,10578316,558692,286,18.93,20.1,18.5,18.96,19.1,4.33,16.17,0.47,1.33
6212,理銘科技,1018809,89682,48,11.36,11.7,11.05,11.5,11.7,53.18,0,0.09,1.28
9946,金革科技,13145343,987814,446,13.3,14.3,13,13.43,14,7,0,0.62,1.03
2636,台驊國際,46099129,1978624,1071,23.29,25.4,21.8,23.04,25,10.82,10.84,3.1,1.31
5601,台聯貨櫃,707274,41109,27,17.2,17.5,16.25,17.16,16.7,64.23,1.37,0.06,0.84
5603,陸海交通,1959556,196422,111,9.97,10.8,9.6,10.1,10.1,N/A,0,0.31,0.79
5604,中連貨運,27509184,1107605,652,24.83,25.2,23.75,24.92,24.95,16.1,7.85,1.02,1.08
5609,中菲行  ,113145378,6476029,3086,17.47,18.45,16.4,17.23,18.2,10.11,8.29,4.8,1.34
1259,安心    ,250800095,1609781,1488,155.79,163,150,155.1,160,21.71,1.87,5.47,6.36
2718,桃園店  ,4195249,113334,65,37.01,37.5,35.5,37.1,37.15,32.88,2.55,0.5,2.06
5701,劍湖山  ,152755340,24678229,6308,6.18,6.98,5.68,5.95,6.3,N/A,0,5.94,0.84
5703,亞都麗緻,1940480,90092,62,21.53,22,20.4,21.36,21.9,35.9,1.14,0.13,1.86
5704,老爺知  ,3066877,168993,126,18.14,18.65,17.65,18.33,18,30,1.66,0.43,1.42
5820,日盛金控,209910028,26413310,6201,7.94,8.42,7.6,7.87,8.39,9.99,10.84,1.03,0.78
6008,凱基證券,1669638685,148235603,33690,11.26,12.5,10.35,11.01,12.5,16.67,5.2,4.53,0.83
6015,宏遠證券,42523519,9106849,2061,4.66,5.24,4.32,4.51,5.14,N/A,0,1.99,0.6
6016,康和證券,104221823,16207787,3099,6.43,7.05,6.08,6.26,6.96,N/A,2.15,2.34,0.61
6020,大展證券,2908438,240563,121,12.09,13.1,11.6,12.23,12.8,N/A,5,0.1,0.91
6021,大慶證券,28969654,2848857,1084,10.16,11.15,9.48,9.89,11.15,69.69,12.55,0.93,0.83
6022,大眾證  ,55770132,7497152,1800,7.43,8.29,6.82,7.16,8.28,N/A,4.1,1.92,0.69
6023,寶來期  ,24639554,711837,482,34.61,37.15,32.85,34.21,35.7,9.89,4.42,0.54,1.45
6024,群益期  ,38418649,1784789,689,21.52,22.55,21.1,21.54,22.5,9.49,4.44,1.93,1.15
2916,滿心企業,27259015,1386155,713,19.66,20.4,18.6,19.69,20.25,9.55,9.87,2.54,1.34
2924,F-東凌  ,83670134,1343268,1015,62.28,65,59,61.99,64,19.81,3.12,4.44,3.95
5902,德記洋行,3186170,370674,173,8.59,9,8.38,8.62,8.9,N/A,0,0.39,1.44
5903,全家    ,406751037,3255745,2499,124.93,130,121,124.2,129,28.35,2.63,1.46,6.7
5904,寶雅國際,94516167,2598229,1784,36.37,38.7,34.6,36.17,38.1,11.55,7.61,2.88,2.26
5905,南仁湖  ,289587473,28293313,7662,10.23,10.65,9.88,10.12,10.3,N/A,0,13.38,0.84
6195,詩肯    ,289401377,5899654,4011,49.05,52.3,44.1,48.26,51.8,8.98,3.86,15.54,3.11
8941,關中    ,98692586,6726539,2402,14.67,16.5,13.45,14.5,16.45,N/A,0,5.14,3.1
9960,邁達康  ,11685373,651139,256,17.94,19.55,17.05,18.07,19.2,11.85,4.16,2.02,1.42
1584,精剛精密,189213655,8849480,3654,21.38,22.3,19.95,21.11,22.25,16.12,0.89,11.17,1.24
2221,大甲    ,51544903,2905179,1652,17.74,18.95,16.5,17.51,18.65,9.82,0,6.85,1.38
3284,太普高  ,20610834,2257438,654,9.13,9.79,8.63,8.98,9.7,20.64,11.34,4.49,0.76
3388,崇越電通,135904789,2102680,1475,64.63,68.8,60.3,61.87,68.8,9.9,8.72,3.39,1.52
4430,耀億    ,62059138,1667530,754,37.21,41.1,35.4,36.98,39.8,72.36,5.02,3.81,1.38
5312,寶島科  ,486793472,6432339,4236,75.67,80.3,70,74.83,79.9,20.59,2.75,10.71,4.15
6186,新潤興業,4684416,340868,181,13.74,14.2,13.4,13.73,13.85,N/A,0,0.68,1.25
6803,崑鼎投控,247217687,1801115,1317,137.25,142,132,135.96,141,15.67,4.39,3.07,3.38
8390,金益鼎  ,70637474,2134849,1404,33.08,36,31.5,32.76,35.75,11.72,4.53,3.17,1.59
8401,白紗科技,22205735,1527966,913,14.53,15.45,13.8,14.39,14.65,9.51,17.13,3.77,0.98
8418,F-必勝  ,118271351,2849193,1143,41.51,44.2,38.8,41,43.3,11.22,0.46,5.14,1.34
8426,F-紅木  ,69909968,1712287,791,40.82,44.15,36.6,39.9,42.3,13.22,1.79,4.28,3.33
8705,東隆五金,5529982,211087,194,26.19,26.7,25.55,26.23,26.4,17.25,6.36,0.26,1.88
8905,裕國    ,23744543,1530298,603,15.51,16.2,14.9,15.48,15.6,20,3.84,1.28,1.12
8906,花王企業,5274325,880618,320,5.98,6.3,5.72,6,6.3,N/A,0,1.72,0.75
8913,華夏資融,10459488,1045619,390,10,10.3,9.62,9.97,10.25,18.64,24.39,2.1,0.69
8916,光隆    ,26062911,1425136,705,18.28,19,17.6,18.26,18.7,12.38,5.88,1.6,0.87
8921,沈氏印刷,268191,19159,17,14,14,14,14,14,14.58,6.42,0.04,0.82
8923,時報出版,2493541,160204,53,15.56,16.7,15.3,15.83,15.5,14.22,8.06,0.53,1.11
8924,大田精密,51147837,2698006,1337,18.95,20,17.85,18.67,20,N/A,0,2.22,1.17
8925,偉盟工業,687301973,41831559,6772,16.43,16.85,16.05,16.5,16.5,103.13,3.09,14.61,1.3
8928,鉅明    ,3565211,506638,201,7.03,7.35,6.6,7.08,7.3,N/A,0,0.8,0.78
8929,富堡工業,3723973,164840,135,22.59,23.8,22,22.51,23.3,8.96,7.72,0.6,1.17
8932,宏大    ,1881777,270008,160,6.96,8,6.36,7.38,7.36,N/A,0,0.55,0.86
8933,愛地雅  ,31241340,3434117,1481,9.09,9.7,8.82,9.04,9.68,17.93,8.16,2.64,0.68
8934,衡平    ,48708,17227,25,2.82,3.09,2.6,2.86,0,,0,0.03,2.26
