櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年7月 Jul., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 169,699,787,272元",,,,,,"3. 櫃檯買賣月總成交筆數： 1,997,256筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,331,731,279股",,,,,,4. 成交量週轉率： 6.43%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
2061,風青    ,43715395,1510461,497,28.94,29.95,28.2,28.93,28.35,N/A,3.52,3.74,2.25
4609,唐鋒實業,6914626,674131,370,10.25,11.15,9.63,10.19,10.1,N/A,9.5,1.41,0.86
2035,唐榮公司,13842972,498835,345,27.75,29,26.85,27.69,27.85,20.94,0,0.14,1.26
2063,世鎧精密,17177091,592640,471,28.98,33.25,23.4,29.34,25.9,10.28,11.58,1.44,1.57
5009,榮剛材料,2840636878,97129884,36441,29.24,31.25,27.15,29.11,29,10.94,1.62,24.35,1.46
5011,久陽精密,109503637,3078960,163,35.56,37.3,29.5,34.35,30.45,6.38,0,9.44,2.09
5013,強新工業,17450469,1558405,512,11.19,11.7,10.85,11.19,11.15,7.24,4.48,1.6,0.71
5014,建錩實業,3526252,513630,275,6.86,7.09,6.7,6.88,6.93,N/A,8.65,0.31,0.54
5015,華祺工業,7486218,550810,312,13.59,14.5,13,13.53,13.1,11.1,11.45,0.91,0.82
5016,松和工業,23175956,775733,363,29.87,32.1,26.3,28.88,26.8,7.77,9.32,1.56,1.22
8349,友信    ,12054415,438377,303,27.49,29.75,26,27.26,26.9,13.19,4.79,0.67,1.66
8930,青鋼金屬,18544444,1592399,417,11.64,12.2,10.3,11.59,10.4,41.6,9.32,2.79,0.76
9962,有益鋼鐵,17879782,1713032,681,10.43,11.4,9.75,10.38,10.2,68,7.84,1.9,0.91
5102,富強輪胎,16784103,937323,315,17.9,18.8,17.2,17.83,18.35,12.15,5.44,1.54,1.29
2596,綠意開發,9151714,564059,197,16.22,16.6,15.9,16.33,16.45,18.28,7.29,0.83,1.15
3266,昇陽開發,36182425,2433079,904,14.87,15.25,14.2,14.8,14.9,15.85,5.36,1.98,1.06
4113,聯上實業,43390063,2005042,560,21.64,22.5,20.8,21.79,21.65,17.18,0,3.47,1.53
4416,三圓建設,3774113,52003,47,72.57,76,69,72,70.5,11.95,4.53,0.09,2.24
5213,亞昕    ,149600798,6431698,2116,23.25,24.4,22.5,23.24,23.3,30.26,10.68,2.65,1.24
5324,士林開發,70577038,1801416,135,39.17,40.5,38.3,39.3,39.15,6.81,0.76,3.68,2.14
5505,和旺建設,779297422,24864567,7821,31.34,38.2,23.65,30.63,24.4,N/A,17.82,20.93,1.27
5506,長鴻營造,22331745,2795147,886,7.98,8.26,7.48,7.9,7.8,28.89,0,1.77,0.67
5508,永信建設,211250406,4918679,2304,42.94,44.4,41,42.15,42.8,45.05,5.91,2.71,2.55
5511,德昌營造,362815540,12670378,5753,28.63,32.5,24.5,28.33,27.5,4.51,10.9,10.7,1.24
5512,力麒建設,604254973,42502497,9113,14.21,14.8,13.8,14.08,13.85,13.07,10.18,7.23,0.8
5514,三豐建設,82321500,3635004,249,22.64,21.8,20.55,21.34,21.2,9.18,4.24,3.13,1.42
5516,雙喜    ,15011366,1078101,602,13.92,14.5,13.6,13.9,13.8,2.75,3.62,2.82,0.83
5519,隆大營建,255082932,6681532,2811,38.17,39.8,35.6,37.38,35.6,10.85,3.39,7.52,2.04
5520,力泰建設,11860951,557116,300,21.28,22.65,20,21.25,20.65,14.34,6.53,0.79,0.8
5521,工信    ,112437977,14118787,3444,7.96,8.3,7.76,7.91,8,13.79,6.25,4.06,0.65
5523,宏都建設,12194445,1652884,425,7.37,7.89,7.2,7.47,7.3,N/A,0,0.94,0.82
5529,志嘉建設,22911556,1445752,720,15.84,16.95,14.25,15.68,15.35,N/A,6.51,2.71,1.58
6177,達麗建設,72008228,2558859,904,28.14,29.55,25.95,27.89,28.9,22.4,10.69,2.13,1.96
6212,理銘科技,1412958,129067,79,10.94,11.6,10.65,11.04,11,57.89,0,0.13,1.19
6219,富旺    ,7188489,371808,200,19.33,21,17,19.41,17.75,N/A,0,0.24,2.12
6264,德士通  ,9348179,997247,553,9.37,10.15,8.99,9.4,9.1,N/A,0,0.72,1.23
9946,金革科技,136847144,9929150,5973,13.78,15.1,12.85,13.75,13.95,5.89,0,4.96,0.97
2636,台驊國際,32634067,1571784,823,20.76,21.7,20.2,20.71,20.4,12.91,13.28,2.46,1.08
5601,台聯貨櫃,1941380,109552,66,17.72,18.5,17.3,17.83,18,35.29,1.44,0.15,0.9
5603,陸海交通,9807896,975278,322,10.05,10.35,9.95,10.07,10.1,N/A,0,1.55,0.72
5604,中連貨運,29398914,1171290,519,25.09,26.2,24.8,25.17,25.3,19.02,5.53,1.08,1.01
5609,中菲行  ,189634005,9772421,4293,19.4,20.4,18.75,19.33,20.3,15.86,5.02,7.24,1.51
1259,安心    ,56040223,418274,444,133.97,136.5,131,134.29,134.5,23.72,2.23,1.42,2.59
2718,桃園店  ,6062130,136021,68,44.56,46,42.8,43.98,43.2,32.24,3.47,0.6,1.66
2719,燦星旅  ,41710565,1573774,1147,26.5,29,23.75,26.51,24.6,30.37,2.64,4.34,1.7
2724,F-富驛  ,82642258,1068910,606,77.31,82.2,74.1,78.62,78,59.09,0.64,3.63,3.51
5701,劍湖山  ,73687643,13006498,3800,5.66,6,5.42,5.61,5.57,N/A,0,3.13,0.8
