,,,,,,,,,O,O,O,O,O,O,O,O,,,,,,O,O,O,O,O,O
Year,Month,INDPRO Rate,RSAFS,HOUST,DGOrder,NEWORDER,UNRATE,PERMITNSA,INDPRO,PAYEMS,ISRatio,AWOTMAN,UMCSENT,ICSA,M1SL,MZMSL,TB3MS,GS10,BAA,CPF3M,CPIAUCSL,CRB Future,SP500PE,SPOpen,SPHigh,SPLow,SPClose
年,月,工業生產指數YoY,零售銷售YoY,新屋開工YoY,耐久財訂單YoY,非國防資本財YoY,失業率,建築許可YoY,工業生產指數,非農就業1 Year,存貨銷售比,每週加班工時,消費者信心指數,初領失業救濟金,M1,MZM,3個月殖利率,10年期殖利率,BAA殖利率,90天商業本票,CPI,CRB期貨指數,S&P 500 PE,SPOpen,SPHigh,SPLow,SPClose
,,同時,同時,領先,領先,領先 ,落後,領先 ,同時,同時,落後,領先,領先,領先,領先,領先,利率,利率,利率,利率,落後,落後,同時,,,,
2009,7,-13.6,-9.2,-35.6,-27.7,-23.7,9.5,-34.7,84.4347,-6821,1.37,3.0,66,581000,17.0,9.7,0.18,3.56,7.09,0.33,-2.0,257.45,16.69,920.82,996.68,869.32,987.48
2009,8,-11.3,-6.6,-30.6,-26.0,-23.2,9.7,-29.2,85.2174,-6785,1.34,3.0,65.7,564000,18.0,9.4,0.17,3.59,6.58,0.29,-1.5,253.68,18.09,990.22,1039.47,978.51,1020.62
2009,9,-6.8,-7.2,-28.7,-23.8,-16.1,9.8,-25.4,85.7983,-6587,1.33,3.0,73.5,548000,14.0,9.0,0.12,3.40,6.31,0.23,-1.3,259.39,18.83,1019.52,1080.15,991.97,1057.08
2009,10,-7.4,-2.8,-31.3,-14.8,-11.2,10.1,-24.8,86.0163,-6299,1.32,3.2,70.6,523000,14.1,8.5,0.07,3.39,6.29,0.22,-0.2,270.38,19.35,1054.91,1101.36,1019.95,1036.19
2009,11,-6.0,1.6,-9.8,-12.7,-11.3,9.9,1.4,86.2137,-5552,1.31,3.4,67.4,477000,11.1,7.0,0.05,3.40,6.32,0.19,1.9,277.40,19.81,1036.18,1113.69,1029.38,1095.63
2009,12,-2.9,4.8,3.8,-6.9,0.0,9.9,19.4,86.7197,-5063,1.29,3.5,72.5,465000,5.7,4.1,0.05,3.59,6.37,0.20,2.8,283.38,20.31,1098.89,1130.38,1085.89,1115.1
2010,1,0.3,3.6,25.5,14.2,7.5,9.7,7.4,87.7492,-4282,1.29,3.6,74.4,501000,5.9,1.8,0.06,3.73,6.25,0.18,2.6,265.59,20.52,1116.56,1150.45,1071.59,1073.87
2010,2,1.1,4.2,3.6,14.2,8.0,9.7,15.6,87.9129,-3591,1.29,3.5,73.6,475000,8.6,1.2,0.11,3.69,6.34,0.20,2.2,274.77,19.91,1073.89,1112.42,1044.5,1104.49
2010,3,3.3,8.2,24.0,16.2,16.4,9.7,41.2,88.3915,-2603,1.27,3.7,73.6,452000,8.5,-0.5,0.15,3.73,6.27,0.24,2.4,273.34,21,1105.36,1180.69,1105.36,1169.43
2010,4,4.6,8.5,43.7,21.3,21.0,9.8,23.2,88.7051,-1666,1.27,3.8,72.2,457000,5.6,-1.2,0.16,3.85,6.25,0.30,2.3,277.71,21.8,1171.23,1219.8,1170.69,1186.69
2010,5,7.2,6.9,7.4,16.1,20.1,9.6,3.2,89.9025,-822,1.28,4.0,73.6,464000,6.0,-1.9,0.16,3.42,6.05,0.44,2.0,254.80,20.47,1188.58,1205.13,1040.78,1089.41
2010,6,7.7,5.2,-7.9,19.1,21.4,9.5,-3.4,89.9970,-512,1.29,3.8,76,472000,4.6,-2.0,0.12,3.20,6.23,0.46,1.1,258.52,19.73,1087.3,1131.23,1028.33,1030.71
2010,7,7.5,5.4,-7.4,13.3,15.5,9.5,-8.0,90.7919,-261,1.29,3.8,67.8,474000,4.2,-1.7,0.16,3.01,6.01,0.37,1.3,274.35,19.66,1031.1,1120.95,1010.91,1101.6
2010,8,6.8,3.9,3.4,13.7,23.0,9.6,-0.6,90.9898,-89,1.29,3.8,68.9,468000,5.8,-0.5,0.16,2.70,5.66,0.27,1.2,264.25,19.76,1107.53,1129.24,1039.7,1049.33
2010,9,6.3,7.4,2.1,18.4,19.5,9.6,-8.3,91.2427,118,1.30,3.9,68.2,450000,6.5,0.2,0.15,2.65,5.66,0.25,1.1,286.86,20.37,1049.72,1157.16,1049.72,1141.2
2010,10,6.0,8.0,0.9,12.5,16.4,9.7,-9.2,91.1385,510,1.29,3.9,67.7,454000,6.2,0.9,0.13,2.54,5.72,0.25,1.2,300.67,21.23,1143.49,1196.14,1131.87,1183.26
2010,11,6.0,7.5,-6.3,15.0,18.1,9.8,-2.9,91.4039,658,1.28,4.0,71.6,439000,8.4,1.5,0.14,2.76,5.92,0.25,1.1,301.40,21.69,1185.71,1227.08,1173,1180.55
2010,12,6.7,7.6,-9.5,12.0,18.9,9.4,-3.3,92.5646,940,1.28,4.0,74.5,404000,8.1,1.9,0.14,3.29,6.10,0.27,1.4,332.80,22.39,1186.6,1262.6,1186.6,1257.64
2011,1,5.8,8.0,3.4,9.4,16.4,9.0,-10.9,92.7949,1047,1.26,4.1,74.2,424000,10.1,2.8,0.15,3.39,6.09,0.26,1.7,341.42,22.97,1257.62,1302.67,1257.62,1286.12
2011,2,5.2,9.1,-14.1,7.9,12.5,8.9,-17.9,92.4512,1317,1.27,4.2,77.5,375000,9.9,3.0,0.13,3.58,6.15,0.25,2.2,352.58,23.48,1289.14,1344.07,1289.14,1327.22
2011,3,5.3,7.5,-5.3,14.2,12.3,8.8,-16.2,93.0888,1319,1.25,4.2,67.5,392000,10.3,4.5,0.10,3.41,6.03,0.23,2.7,359.43,22.89,1328.64,1332.28,1249.05,1325.83
2011,4,4.5,7.2,-20.1,6.7,13.7,9.0,-15.3,92.7082,1259,1.27,4.2,69.8,478000,11.7,5.8,0.06,3.46,6.02,0.22,3.1,370.56,23.14,1329.48,1364.56,1294.7,1363.61
2011,5,3.4,7.9,-4.7,9.3,11.2,9.1,10.2,92.9949,854,1.28,4.1,74.3,426000,13.2,6.6,0.04,3.17,5.78,0.18,3.4,350.06,23.05,1365.21,1370.58,1311.8,1345.2
2011,6,3.4,8.2,14.1,8.7,7.1,9.2,5.4,93.0368,1066,1.28,4.0,71.5,432000,12.9,7.2,0.04,3.00,5.75,0.17,3.4,338.05,22.09,1345.2,1345.2,1258.07,1320.64
2011,7,3.7,8.5,11.8,9.5,12.4,9.1,-0.8,94.1080,1242,1.28,4.1,63.7,402000,16.1,8.6,0.04,3.00,5.76,0.17,3.6,342.08,22.60,1320.64,1356.48,1282.86,1292.28
2011,8,3.4,7.5,-3.5,12.6,8.3,9.1,13.4,94.1285,1405,1.27,4.1,55.7,412000,20.7,9.4,0.02,2.30,5.36,0.21,3.8,342.57,20.12,1292.59,1307.38,1101.54,1218.89
2011,9,3.1,7.9,5.5,4.3,7.4,9.1,6.8,94.0725,1644,1.27,4.0,59.4,395000,20.6,9.4,0.01,1.98,5.27,0.22,3.9,298.15,20.01,1219.12,1229.29,1114.22,1131.42
2011,10,3.9,7.2,16.5,7.5,9.2,9.0,16.1,94.7136,1573,1.27,4.1,60.9,400000,20.8,9.2,0.02,2.15,5.37,0.24,3.6,319.84,20.30,1131.21,1292.66,1074.77,1253.3
