Date,Open,High,Low,Close,Volume,Adj Close
2000-07-03,1454.60,1517.32,1413.89,1430.83,1002085000,1430.83
2000-06-01,1420.60,1488.93,1420.60,1454.60,1054454500,1454.60
2000-05-01,1452.43,1481.51,1361.09,1420.60,948127200,1420.60
2000-04-03,1498.58,1527.19,1339.40,1452.43,1110055700,1452.43
2000-03-01,1366.42,1552.87,1346.62,1498.58,1190591300,1498.58
2000-02-01,1394.46,1444.55,1325.07,1366.42,1105815000,1366.42
2000-01-03,1469.25,1478.00,1350.14,1394.46,1124410000,1394.46
1999-12-01,1388.91,1473.10,1387.38,1469.25,909760900,1469.25
1999-11-01,1362.93,1425.31,1346.41,1388.91,920777100,1388.91
1999-10-01,1282.71,1373.17,1233.70,1362.93,950119000,1362.93
1999-09-01,1320.41,1361.39,1256.26,1282.71,831252300,1282.71
1999-08-02,1328.72,1382.84,1267.73,1320.41,758193100,1320.41
1999-07-01,1372.71,1420.33,1328.49,1328.72,765225200,1328.72
1999-06-01,1301.84,1372.93,1277.47,1372.71,781644000,1372.71
1999-05-03,1335.18,1375.98,1277.31,1301.84,826511000,1301.84
1999-04-01,1286.37,1371.56,1282.56,1335.18,926652300,1335.18
1999-03-01,1238.33,1323.82,1216.03,1286.37,822904300,1286.37
1999-02-01,1279.64,1283.84,1211.89,1238.33,807392600,1238.33
1999-01-04,1229.23,1280.37,1205.46,1279.64,901605200,1279.64
1998-12-01,1163.63,1244.93,1136.89,1229.23,722756800,1229.23
1998-11-02,1098.67,1192.97,1098.67,1163.63,706959000,1163.63
1998-10-01,1017.01,1103.78,923.32,1098.67,853938600,1098.67
1998-09-01,957.28,1066.11,939.98,1017.01,834008500,1017.01
1998-08-03,1120.67,1121.79,957.28,957.28,761383300,957.28
1998-07-01,1133.84,1190.58,1114.30,1120.67,674577700,1120.67
1998-06-01,1090.82,1145.15,1074.67,1133.84,650416800,1133.84
1998-05-01,1111.75,1130.52,1074.39,1090.82,601696000,1090.82
1998-04-01,1101.75,1132.98,1076.70,1111.75,683412300,1111.75
1998-03-02,1049.34,1113.07,1030.87,1101.75,654296300,1101.75
1998-02-02,980.28,1051.66,980.28,1049.34,643738400,1049.34
1998-01-02,970.43,992.65,912.83,980.28,667360500,980.28
