,40664 ,,,,,,,May 2011,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,17290592419 ,436027669 ,122222 ,39.65,39.53,41.70,42.10,05/03,37.50,05/23,11.81
1102  亞泥,8296383893 ,218910884 ,61643 ,37.90,37.79,39.55,40.10,05/30,36.10,05/23,7.12
1103  嘉泥,848973166 ,47081804 ,12158 ,18.03,17.65,17.75,19.00,05/05,16.65,05/24,6.43
1104  環泥,150491085 ,8215697 ,3444 ,18.32,18.21,18.40,19.15,05/03,17.50,05/24,1.36
1108  幸福,589419091 ,71004675 ,17314 ,8.30,7.73,7.78,9.20,05/12,7.20,05/24,17.54
1109  信大,46099078 ,4244690 ,1128 ,10.86,10.84,10.90,11.15,05/30,10.60,05/03,1.01
1110  東泥,186939707 ,14319152 ,3885 ,13.06,12.85,12.70,13.60,05/11,12.30,05/04,2.50
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,3844242598 ,112161570 ,41292 ,34.27,33.77,32.50,36.40,05/17,31.50,05/27,22.16
1203  味王,92911729 ,3995546 ,2143 ,23.25,23.19,22.90,24.20,05/12,22.30,05/24,1.66
1210  大成,3586679020 ,104665289 ,36023 ,34.27,34.01,33.10,37.30,05/05,31.00,05/26,21.16
1213  大飲,1252767482 ,40316621 ,20181 ,31.07,29.16,28.85,34.75,05/17,25.00,05/04,78.32
1215  卜蜂,483656227 ,25661038 ,10323 ,18.85,18.53,18.15,19.70,05/12,17.70,05/24,11.06
1216  統一,7542413202 ,182375759 ,56101 ,41.36,41.28,41.25,42.70,05/10,38.90,05/30,4.25
1217  愛之味,1943923153 ,139526470 ,33805 ,13.93,13.69,13.30,14.80,05/12,12.15,05/30,31.17
1218  泰山,1252354672 ,69135185 ,22240 ,18.11,17.80,16.85,19.45,05/11,15.90,05/30,20.76
1219  福壽,176046566 ,10947219 ,3771 ,16.08,15.99,15.85,16.75,05/12,15.25,05/23,3.86
1220  台榮,881361425 ,58884407 ,18316 ,14.97,14.16,13.15,16.45,05/12,12.60,05/30,33.25
1225  福懋油,295117101 ,19372392 ,6098 ,15.23,15.06,14.90,15.90,05/13,14.45,05/30,11.08
1227  佳格,9305474854 ,88455319 ,44768 ,105.20,104.84,107.00,112.50,05/25,92.00,05/03,23.85
1229  聯華,2415947009 ,105326295 ,32874 ,22.94,22.58,22.40,24.10,05/16,21.50,05/30,12.81
1231  聯華食,2360364827 ,65802036 ,27095 ,35.87,35.27,36.15,39.80,05/12,28.00,05/03,57.01
1232  大統益,232619856 ,4363803 ,2674 ,53.31,53.15,52.80,55.80,05/12,51.10,05/25,2.73
1233  天仁,187366384 ,3262913 ,2289 ,57.42,56.11,56.10,60.10,05/10,54.00,05/30,3.60
1234  黑松,712534082 ,26833708 ,9407 ,26.55,26.16,25.95,27.60,05/12,24.50,05/30,5.01
1235  興泰,202051971 ,6237636 ,3879 ,32.39,31.39,30.30,35.60,05/12,28.50,05/04,11.44
1236  宏亞,119840939 ,4791383 ,2528 ,25.01,24.44,23.95,26.60,05/10,23.10,05/03,5.21
1702  南僑,1593362538 ,42495395 ,21030 ,37.49,38.10,35.00,41.90,05/05,32.60,05/24,14.45
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,18928652754 ,168280641 ,60557 ,112.48,113.69,110.00,117.00,05/03,106.50,05/31,2.75
1303  南亞,17540841517 ,215002741 ,75008 ,81.58,82.88,79.70,87.90,05/03,76.50,05/31,2.74
1304  台聚,6530683217 ,181203267 ,60202 ,36.04,36.08,35.15,38.80,05/03,32.65,05/23,20.97
1305  華夏,1287846427 ,95887343 ,22378 ,13.43,13.35,13.70,15.10,05/03,12.00,05/24,22.57
1307  三芳,306224517 ,8432157 ,3729 ,36.32,35.63,35.00,37.80,05/10,33.80,05/25,2.70
1308  亞聚,2725964299 ,53525378 ,21189 ,50.93,50.58,50.30,53.50,05/03,48.80,05/24,17.09
1309  台達化,1608360647 ,90381892 ,22833 ,17.80,17.39,17.70,19.05,05/20,16.75,05/17,32.44
1310  台苯,480143632 ,36438864 ,11500 ,13.18,13.06,12.75,14.30,05/03,11.90,05/24,6.28
1312  國喬,4995630320 ,271908835 ,52771 ,18.37,18.23,18.20,19.85,05/03,17.35,05/24,29.99
1312A 國喬特,5936950 ,279000 ,131 ,21.28,21.29,21.10,21.90,05/09,20.85,05/24,1.40
1313  聯成,2977120914 ,123011445 ,30127 ,24.20,24.07,24.50,25.30,05/19,23.30,05/27,11.77
1314  中石化,8360660691 ,240827815 ,70578 ,34.72,34.68,35.35,36.50,05/03,32.85,05/17,13.42
1315  達新,24899436 ,926864 ,516 ,26.86,26.88,26.45,27.90,05/03,26.10,05/25,0.42
1316  上曜,140039085 ,7187989 ,3176 ,19.48,19.40,20.70,21.45,05/03,18.50,05/11,11.03
1319  東陽,1767947575 ,46295524 ,21850 ,38.19,38.49,37.80,41.85,05/04,34.20,05/24,8.93
1321  大洋,86089397 ,4129315 ,1577 ,20.85,20.66,20.95,21.90,05/03,19.80,05/24,1.82
1323  永裕,61992668 ,2412630 ,1212 ,25.70,25.70,25.50,26.45,05/16,24.60,05/05,2.91
1324  地球,67785246 ,3825498 ,1837 ,17.72,17.56,17.65,18.35,05/11,17.00,05/09,5.09
1325  恆大,93682985 ,4055269 ,1858 ,23.10,23.12,22.20,23.65,05/16,22.10,05/27,4.29
1326  台化,17873837960 ,165829115 ,63784 ,107.78,108.19,109.50,115.50,05/03,103.00,05/09,2.91
1715  亞化,242285123 ,13231451 ,4154 ,18.31,18.27,17.95,19.00,05/03,17.55,05/30,5.31
4306  炎洲,2815991924 ,93893314 ,30437 ,29.99,29.55,29.05,31.60,05/16,28.20,05/03,33.89
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,10618556774 ,236215762 ,70418 ,44.95,44.92,45.35,46.80,05/11,43.50,05/30,4.97
1409  新纖,2568309440 ,204404019 ,41273 ,12.56,12.56,12.40,13.40,05/03,11.75,05/24,11.81
1410  南染,77285543 ,4222566 ,1392 ,18.30,18.30,17.70,19.10,05/11,17.40,05/30,4.69
1413  宏洲,126403318 ,13730164 ,2796 ,9.21,9.04,8.89,9.90,05/05,8.50,05/20,8.07
1414  東和,1976830491 ,133137498 ,32324 ,14.85,14.32,14.80,16.35,05/27,13.10,05/23,60.52
1416  廣豐,506907410 ,39910991 ,9012 ,12.70,12.58,12.80,13.30,05/24,12.00,05/23,10.37
1417  嘉裕,289574097 ,28896080 ,8740 ,10.02,10.01,9.75,10.55,05/12,9.38,05/25,7.61
1418  東華,83459258 ,7704340 ,2097 ,10.83,10.66,10.35,11.65,05/09,10.00,05/24,5.84
1419  新紡,1054087766 ,27152228 ,10630 ,38.82,38.67,38.35,40.50,05/09,36.60,05/24,9.05
1423  利華,88558008 ,10029722 ,2108 ,8.83,8.81,8.91,9.30,05/11,8.45,05/25,5.73
1432  大魯閣,190134916 ,12990272 ,2788 ,14.64,14.11,15.10,15.30,05/11,13.40,05/09,24.11
1434  福懋,1085400509 ,35368953 ,13906 ,30.69,30.61,30.90,31.35,05/19,29.95,05/04,2.10
1439  中和,2220905182 ,45049113 ,22446 ,49.30,48.61,48.50,56.20,05/09,43.00,05/03,48.97
1440  南紡,1229689657 ,66077722 ,18419 ,18.61,18.58,18.60,19.55,05/03,17.75,05/30,4.34
1441  大東,1012287838 ,52404280 ,19545 ,19.32,18.87,22.45,24.85,05/18,12.05,05/03,79.64
1443  立益,571247216 ,118651912 ,18393 ,4.81,4.61,4.83,5.81,05/19,3.85,05/03,40.74
1444  力麗,1893869916 ,112905482 ,27691 ,16.77,16.60,16.45,17.35,05/05,16.00,05/30,14.41
1445  大宇,221528928 ,23019801 ,5162 ,9.62,9.41,9.10,10.10,05/05,8.86,05/24,16.60
1446  宏和,566730365 ,27102695 ,6814 ,20.91,20.64,21.30,22.50,05/19,18.75,05/03,19.55
1447  力鵬,769623705 ,52469003 ,13301 ,14.67,14.51,14.20,15.25,05/06,14.05,05/30,8.04
1451  年興,443694613 ,18410573 ,6641 ,24.10,24.03,23.80,24.75,05/09,23.40,05/24,3.35
1452  宏益,159229998 ,10659160 ,3238 ,14.94,14.81,14.55,15.75,05/04,14.20,05/24,8.36
1453  大將,154716078 ,13386524 ,4446 ,11.56,11.11,10.70,13.30,05/20,10.30,05/03,18.88
1454  台富,682637248 ,60138144 ,16104 ,11.35,11.08,10.45,12.50,05/06,10.00,05/03,45.00
1455  集盛,2415223974 ,128443924 ,35310 ,18.80,18.40,18.00,20.20,05/04,17.50,05/30,26.25
1457  宜進,491899212 ,45668349 ,13732 ,10.77,10.99,10.00,12.10,05/04,9.89,05/23,16.60
1459  聯發,455518928 ,28234415 ,9004 ,16.13,15.87,15.25,17.60,05/04,14.95,05/30,8.50
1460  宏遠,92496350 ,11815055 ,3800 ,7.83,7.84,7.36,8.47,05/05,7.16,05/30,2.51
1463  強盛,68780842 ,6180628 ,1436 ,11.13,10.91,10.85,11.75,05/04,10.25,05/25,3.28
1464  得力,55171328 ,5413570 ,1404 ,10.19,10.11,10.30,10.65,05/31,10.00,05/31,3.45
1465  偉全,133610736 ,6782279 ,2789 ,19.70,19.65,19.35,20.10,05/09,19.10,05/30,7.86
1466  聚隆,1671333263 ,51319527 ,17874 ,32.57,32.26,31.50,35.50,05/03,29.70,05/11,56.03
1467  南緯,253740176 ,21462014 ,6125 ,11.82,11.56,11.20,12.30,05/06,11.00,05/23,13.01
1468  昶和,8594184 ,612212 ,369 ,14.04,13.97,13.95,15.20,05/16,13.20,05/27,0.38
1469  理隆,2025250 ,179600 ,78 ,11.28,11.28,11.30,11.65,05/05,10.90,05/25,0.14
1470  大統染,107734946 ,6995938 ,2441 ,15.40,14.16,13.10,18.10,05/13,12.30,05/04,8.16
1472  三洋纖,412218969 ,39515214 ,8811 ,10.43,10.36,10.15,11.25,05/04,9.71,05/25,45.16
1473  台南,764465112 ,18744360 ,7168 ,40.78,40.79,39.70,42.40,05/03,38.75,05/30,12.77
1474  弘裕,141219282 ,12626915 ,3550 ,11.18,11.04,10.95,11.65,05/11,10.70,05/24,9.16
1475  本盟,4873968 ,457511 ,342 ,10.65,10.62,10.90,11.70,05/06,9.52,05/25,0.98
1476  儒鴻,2292153247 ,51369837 ,20526 ,44.62,43.65,45.25,47.10,05/12,40.70,05/24,25.78
1477  聚陽,1880398169 ,25043679 ,12932 ,75.08,74.61,78.00,78.10,05/31,69.20,05/03,15.69
4414  如興,38421093 ,3442361 ,1270 ,11.16,11.15,10.70,12.20,05/10,9.88,05/06,7.08
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,375539381 ,10271097 ,4727 ,36.56,36.40,36.75,37.65,05/13,35.80,05/05,1.97
1504  東元,6352123146 ,306355805 ,79003 ,20.73,20.52,21.45,21.60,05/13,19.85,05/04,16.71
1506  正道,1516798738 ,52640629 ,13876 ,28.81,27.48,26.20,32.25,05/13,24.55,05/30,72.86
1507  永大,2092097487 ,38517005 ,20851 ,54.32,53.94,51.60,58.60,05/06,49.90,05/23,9.38
1512  瑞利,261120827 ,25717444 ,6738 ,10.15,9.99,9.87,10.70,05/18,9.44,05/04,14.15
1513  中興電,487831571 ,27420312 ,9166 ,17.79,17.68,17.55,18.25,05/11,17.15,05/25,5.71
1514  亞力,234160199 ,20242494 ,6033 ,11.57,11.40,11.90,12.10,05/13,10.90,05/09,10.07
1515  力山,66033771 ,9349807 ,2753 ,7.06,7.15,6.20,8.00,05/03,6.10,05/31,4.09
1517  利奇,509346430 ,34730372 ,10759 ,14.67,14.12,13.65,15.50,05/11,13.30,05/30,15.24
1519  華城,450691750 ,19086639 ,8993 ,23.61,23.44,23.00,25.15,05/11,21.80,05/24,7.31
1521  大億,1509823859 ,20654421 ,11144 ,73.10,72.49,74.50,79.70,05/19,64.00,05/03,27.09
1522  堤維西,92676012 ,5662628 ,2961 ,16.37,16.33,16.10,17.15,05/03,15.55,05/26,1.84
1524  耿鼎,37581176 ,4148194 ,1396 ,9.06,9.04,8.76,9.44,05/12,8.67,05/27,2.55
1525  江申,1821327946 ,28265469 ,16870 ,64.44,62.21,62.30,71.60,05/16,54.00,05/04,42.86
1526  日馳,81952709 ,9863028 ,3322 ,8.31,7.84,7.95,9.49,05/19,7.01,05/03,19.73
1527  鑽全,1417309181 ,52530045 ,22689 ,26.98,26.18,24.80,29.30,05/23,24.45,05/31,33.04
1528  恩德,1573210346 ,79033749 ,18154 ,19.91,19.65,20.05,22.10,05/06,17.75,05/20,61.77
1530  亞崴,83674975 ,2393144 ,1256 ,34.96,34.85,34.70,36.40,05/09,34.10,05/24,2.64
1531  高林股,1108702983 ,28869270 ,10871 ,38.40,38.20,39.15,40.45,05/13,34.80,05/23,14.95
1533  車王電,1432435927 ,48389246 ,22186 ,29.60,27.37,29.90,33.15,05/27,23.00,05/04,50.19
1535  中宇,1149905529 ,17081821 ,10926 ,67.32,64.90,62.60,73.50,05/10,59.00,05/24,15.11
1536  和大,160970324 ,10595778 ,3416 ,15.19,15.13,15.35,15.70,05/13,14.80,05/03,6.69
1537  廣隆,829501977 ,15254562 ,7949 ,54.38,54.07,55.70,57.60,05/05,50.50,05/24,19.10
1538  正峰新,2748855049 ,51693595 ,23264 ,53.18,53.12,52.90,56.10,05/16,44.60,05/03,31.91
