公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,99,99,與上月比較增減%,98,與去年同月比較增減%,99,98,與去年同期比較增減%,99.09,98.09,與去年同期比較增減%
1101,台泥,1804805,1861703,-3.06 ,1823433,-1.02 ,16344206,15719543,3.97 ,33.4,36.1,-7.48 
1102,亞泥,742167,625133,18.72 ,740023,0.29 ,6726303,7671821,-12.32 ,31.85,36,-11.53 
1103,嘉泥,131120,197136,-33.49 ,221148,-40.71 ,1459387,1763707,-17.25 ,15.15,16.9,-10.36 
1104,環球水泥,227725,253093,-10.02 ,276004,-17.49 ,2276832,2421726,-5.98 ,17.15,16,7.19 
1108,幸福水泥,244932,244985,-0.02 ,246698,-0.72 ,2032337,2102514,-3.34 ,7.55,8.35,-9.58 
1109,信大水泥,108538,91604,18.49 ,98189,10.54 ,891149,1073371,-16.98 ,9.89,10.2,-3.04 
1110,東泥,99898,114473,-12.73 ,140002,-28.65 ,1034013,1232938,-16.13 ,12.55,11.65,7.73 
1201,味全公司,1190111,1241194,-4.12 ,1154766,3.06 ,9992508,9379272,6.54 ,37.45,42.05,-10.94 
1203,味王公司,148189,188248,-21.28 ,171762,-13.72 ,1445402,2208557,-34.55 ,24.25,25.45,-4.72 
1210,大成長城,1703744,1835507,-7.18 ,1624408,4.88 ,15494751,14949959,3.64 ,31.1,34.35,-9.46 
1213,大飲,62412,89813,-30.51 ,69429,-10.11 ,540425,526506,2.64 ,24.65,8.83,179.16 
1215,卜蜂企業,1201537,1253699,-4.16 ,1016266,18.23 ,10364393,9358539,10.75 ,19.1,16.05,19.00 
1216,統一,4228428,4859664,-12.99 ,3787176,11.65 ,36810333,33969921,8.36 ,40.55,37.9,6.99 
1217,愛之味,262298,542025,-51.61 ,424252,-38.17 ,2931509,3214234,-8.80 ,14.1,12.85,9.73 
1218,泰山企業,693581,689915,0.53 ,574666,20.69 ,5409984,5402021,0.15 ,17.2,11.5,49.57 
1219,福壽實業,793607,800517,-0.86 ,710939,11.63 ,6597910,6767028,-2.50 ,13.7,11.6,18.10 
1220,台榮,233825,276939,-15.57 ,206326,13.33 ,2013058,1651204,21.91 ,12.9,7.04,83.24 
1225,福懋油,664565,679113,-2.14 ,594528,11.78 ,5924274,5727540,3.43 ,15.35,11.35,35.24 
1227,佳格,961342,904822,6.25 ,810587,18.60 ,8342647,7117750,17.21 ,74.6,33.4,123.35 
1229,聯華實業,270931,278829,-2.83 ,236456,14.58 ,2270114,2245310,1.10 ,19.85,14.95,32.78 
1231,聯華食品,358296,408931,-12.38 ,269174,33.11 ,3267597,2810142,16.28 ,24.1,12.25,96.73 
1232,大統益,1356053,1365156,-0.67 ,1278790,6.04 ,11220558,10751846,4.36 ,40.8,37.5,8.80 
1233,天仁,177635,151723,17.08 ,190749,-6.88 ,1411247,1338614,5.43 ,50.6,32.1,57.63 
