公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,99,99,與上月比較增減%,98,與去年同月比較增減%,99,98,與去年同期比較增減%,99.06,98.06,與去年同期比較增減%
1101,台泥,1695373,1790788,-5.3,1798960,-5.8,10851886,10378724,4.6,27.3,31.4,-13.06
1102,亞泥,654336,798378,-18,893379,-26.8,4573071,5237135,-12.7,28.4,35,-18.86
1103,嘉泥,153261,166298,-7.8,178867,-14.3,945085,1176733,-19.7,13.9,15.1,-7.95
1104,環球水泥,248162,272962,-9.1,204849,21.1,1535385,1261064,21.8,13.7,14.9,-8.05
1108,幸福水泥,210761,228733,-7.9,256377,-17.8,1320086,1349903,-2.2,7.09,7.08,0.14
1109,信大水泥,86162,100393,-14.2,133364,-35.4,591678,740934,-20.1,9.69,9.44,2.65
1110,東泥,106742,127040,-16,120312,-11.3,694769,806656,-13.9,10.9,11.45,-4.8
1201,味全公司,1156319,1180106,-2,1063197,8.8,6334079,5804524,9.1,38.25,36.35,5.23
1203,味王公司,153362,142084,7.9,229351,-33.1,922347,1645732,-44,25,25.6,-2.34
1210,大成長城,1728509,1656972,4.3,1658029,4.3,10280839,10020125,2.6,28.05,34.65,-19.05
1213,大飲,46457,44636,4.1,51970,-10.6,302856,302719,0.1,11.7,8.61,35.89
1215,卜蜂企業,1105200,1126634,-1.9,1074203,2.9,6691079,6201146,7.9,17.85,16.6,7.53
1216,統一,4127597,4066771,1.5,4111732,0.4,22889376,21499281,6.5,35.6,33.8,5.33
1217,愛之味,314686,234766,34,346893,-9.3,1721707,1852745,-7.1,12.6,11.25,12
1218,泰山企業,558028,587068,-5,646116,-13.6,3368508,3511686,-4.1,17.45,11.75,48.51
1219,福壽實業,723683,686146,5.5,751814,-3.7,4209058,4562251,-7.7,12.75,11.35,12.33
1220,台榮,247637,233430,6.1,209644,18.1,1222883,1031904,18.5,9.23,6.12,50.82
1225,福懋油,631144,635581,-0.7,729863,-13.5,3921662,3829578,2.4,13.3,12.3,8.13
1227,佳格,846767,896374,-5.5,688215,23,5573680,4783948,16.5,78.3,29.4,166.33
1229,聯華實業,226550,227526,-0.4,254118,-10.9,1472425,1523428,-3.4,15.8,14.35,10.1
1231,聯華食品,335611,299131,12.2,269520,24.5,2047895,1838788,11.4,18.5,12.05,53.53
1232,大統益,1173551,1145363,2.5,1426532,-17.7,7217027,6899117,4.6,42,35.8,17.32
1233,天仁,141949,151417,-6.3,127232,11.6,924216,863686,7,52,34.6,50.29
1234,黑松,354562,368871,-3.9,358979,-1.2,2017047,1803203,11.9,21.65,16.3,32.82
1235,興泰,41994,24672,70.2,36221,15.9,191777,187436,2.3,33.1,35.8,-7.54
1236,宏亞食品,97360,109513,-11.1,87129,11.7,947431,779685,21.5,25.4,16.45,54.41
1301,台塑,15070890,16918837,-10.9,14607858,3.2,96577618,71206780,35.6,68,58.5,16.24
1303,南亞塑膠,18068906,18515484,-2.4,14265644,26.7,106824775,70448332,51.6,51.7,42.6,21.36
1304,台聚,985013,1054715,-6.6,947234,4,6055699,4943878,22.5,19.8,14.6,35.62
1305,華夏,674839,720827,-6.4,702449,-3.9,4192894,3519538,19.1,10,11.6,-13.79
1307,三芳化工,466168,498629,-6.5,345950,34.8,2868283,2308907,24.2,33.1,27.35,21.02
1308,亞聚,529878,490122,8.1,424208,24.9,3154623,2296684,37.4,26.6,19.9,33.67
1309,台達化工,1029132,919647,11.9,751929,36.9,5313271,3543306,50,11.9,7.85,51.59
1310,台苯,849650,1238903,-31.4,880791,-3.5,6484266,5325837,21.8,13.35,11.55,15.58
1312,國喬石化,1286030,1415792,-9.2,1298282,-0.9,8211362,5391506,52.3,12.45,10.25,21.46
1313,聯成,648542,655643,-1.1,506452,28.1,4111242,2471075,66.4,17.2,13.9,23.74
1314,中石化,3382169,3584938,-5.7,2252226,50.2,19020428,10034381,89.6,16.3,10.15,60.59
1315,達新工業,224335,171180,31.1,140876,59.2,1037567,1060424,-2.2,21.9,22.4,-2.23
1316,上曜,12560,15134,-17,20638,-39.1,100404,114681,-12.5,10.45,5.6,86.61
1319,東陽,744696,801973,-7.1,678540,9.8,4638433,3975172,16.7,45.2,31.45,43.72
1321,大洋,422225,457856,-7.8,404485,4.4,2637576,2146472,22.9,19.55,20.2,-3.22
1323,永裕,135289,125737,7.6,102073,32.5,758904,592937,28,18.6,11.4,63.16
1324,地球工業,122645,107733,13.8,105872,15.8,657227,535762,22.7,16.85,11.2,50.45
1325,恒大,100022,88701,12.8,79208,26.3,542750,416441,30.3,23.45,18.75,25.07
1326,台化,21227942,25130287,-15.5,20391080,4.1,142729396,102210809,39.6,74.1,49.4,50
1402,遠東新,4529869,4750663,-4.7,3689507,22.8,25853180,19647933,31.6,33.4,38,-12.11
1409,新纖,2311892,2263786,2.1,1644302,40.6,12772916,9390974,36,10.8,8.85,22.03
1410,南染,33800,28281,19.5,21184,59.6,142310,99461,43.1,15.4,13,18.46
1413,宏洲化工,333044,337584,-1.3,266267,25.1,2024564,1389824,45.7,5.4,1.97,174.11
1414,東和,315835,340023,-7.1,279074,13.2,2131500,1757713,21.3,5.12,5.36,-4.48
1416,廣豐,13457,10450,28.8,14941,-9.9,127607,115098,10.9,7.65,7.12,7.44
1417,嘉裕,84551,72230,17.1,80993,4.4,568721,519793,9.4,9.65,6.09,58.46
1418,東華,185168,180439,2.6,319834,-42.1,1600870,1263071,26.7,10.1,4.15,143.37
1419,新紡,37299,69962,-46.7,42498,-12.2,323413,282323,14.6,32.8,35.3,-7.08
1423,利華羊毛,91252,117544,-22.4,94228,-3.2,530150,473230,12,7.67,5.44,40.99
1432,大魯閣,410,849071,-100,878,-53.3,854154,1640,51982.6,8.54,5.67,50.62
1434,福懋興業,2806866,2817770,-0.4,2348905,19.5,15873640,12484448,27.2,22.7,22.4,1.34
1435,中福,7846,1959,300.5,1855,323,19100,11533,65.6,5.86,2.82,107.8
1436,福益,780,789,-1.1,566,37.8,4928,3200,54,8.41,8.28,1.57
1437,勤益,151987,158241,-4,144086,5.5,879967,655451,34.3,20.4,16.4,24.39
1438,裕豐,9543,11919,-19.9,1168,717,48879,5826,739,1.77,1,77
1439,中和羊毛,37291,33525,11.2,32181,15.9,257875,126209,104.3,33.7,14.8,127.7
1440,南紡,1181264,1315052,-10.2,857033,37.8,7180595,5009341,43.3,13.2,11,20
1441,大東紡織,144791,142869,1.4,98380,47.2,770454,730977,5.4,7.45,6.17,20.75
1442,名軒,115990,129738,-10.6,165177,-29.8,1023967,558310,83.4,18.9,14.55,29.9
1443,立益紡織,183713,176939,3.8,112970,62.6,786021,505068,55.6,3.13,2.5,25.2
1444,力麗,880908,781801,12.7,791106,11.4,4718287,3470308,36,12.2,5.43,124.68
1445,大宇紡織,162379,197201,-17.7,178894,-9.2,1019726,916790,11.2,8.2,5.81,41.14
1446,宏和,93918,87395,7.5,86362,8.8,473560,481057,-1.6,16.5,8.45,95.27
1447,力鵬,1128028,1554343,-27.4,1574513,-28.4,11151287,7991742,39.5,13.4,6.19,116.48
1449,佳和實業,185372,162599,14,140602,31.8,998572,884662,12.9,2.65,1.8,47.22
1451,年興紡織,897260,771530,16.3,784915,14.3,4334903,3934704,10.2,17.5,11.5,52.17
1452,宏益,165371,177091,-6.6,118413,39.7,1005746,676726,48.6,10.9,6.04,80.46
1453,大將,40873,30161,35.5,47153,-13.3,138399,178618,-22.5,9.52,7.3,30.41
1454,台富,206912,209634,-1.3,213185,-2.9,1177780,909466,29.5,7.18,5.65,27.08
1455,集盛,1055225,1496567,-29.5,1042598,1.2,8191612,5665230,44.6,13.65,5.18,163.51
1456,怡華,187300,178966,4.7,145071,29.1,1029859,1000023,3,1.41,1.08,30.56
1457,宜進,326032,320991,1.6,244947,33.1,2000027,1420889,40.8,8.13,4.2,93.57
1459,聯發紡織,195068,243571,-19.9,169518,15.1,1448588,977660,48.2,9.81,7.3,34.38
1460,宏遠,437778,410734,6.6,324090,35.1,2142845,2232325,-4,6.06,5.32,13.91
1463,強盛染整,55094,60819,-9.4,44000,25.2,285935,284649,0.5,8.31,5.04,64.88
1464,得力實業,154890,175034,-11.5,117655,31.7,802185,585376,37,13.5,5.31,154.24
1465,偉全實業,126814,107204,18.3,123812,2.4,663681,628957,5.5,12.4,9.21,34.64
1466,聚隆,408180,479529,-14.9,257423,58.6,2464629,1379697,78.6,13.5,3.45,291.3
1467,南緯實業,455155,204511,122.6,459905,-1,1792180,1910709,-6.2,9.8,6.02,62.79
1468,昶和纖維,59814,63344,-5.6,52773,13.3,354744,384762,-7.8,18.6,10.95,69.86
1469,理隆纖維,85443,87307,-2.1,80286,6.4,389937,378328,3.1,13.35,8.79,51.88
1470,大統染,73182,59046,23.9,46758,56.5,399960,350784,14,9.48,6.01,57.74
1471,首利,793485,830096,-4.4,648576,22.3,4244211,3593077,18.1,23.75,15.1,57.28
1472,三洋纖,82368,70364,17.1,32098,156.6,405217,264092,53.4,4.6,2.83,62.54
1473,台南企業,567535,578766,-1.9,439161,29.2,3582190,3249352,10.2,33.95,22.9,48.25
1474,弘裕,238888,289345,-17.4,196586,21.5,1529449,1130602,35.3,8.67,4.98,74.1
1475,本盟光電,97427,89076,9.4,21507,353,355071,113202,213.7,14.15,5.78,144.81
1476,儒鴻,783566,609843,28.5,612764,27.9,3714078,2984999,24.4,20.75,14.75,40.68
1477,聚陽實業,933821,985176,-5.2,860199,8.6,6238772,5682542,9.8,77,51.2,50.39
1503,士電,1217615,1190472,2.3,937233,29.9,7272907,10613807,-31.5,35.2,36.75,-4.22
1504,東元電機,2241016,1967087,13.9,1822427,23,11543552,11125241,3.8,13.3,13.1,1.53
1506,正道,65960,62241,6,50117,31.6,371413,281284,32,15.25,14.5,5.17
1507,永大機電,376328,305538,23.2,322296,16.8,1807596,1818545,-0.6,26.3,18.3,43.72
1512,瑞利,187344,163116,14.9,219572,-14.7,1146365,1404394,-18.4,7.92,8.41,-5.83
