公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
1419,新紡,42353,44365,-4.54 ,44270,-4.33 ,410132,367196,11.69 ,35.6,31.4,13.38 
1423,利華羊毛,86342,84492,2.19 ,74506,15.89 ,700984,623365,12.45 ,7.99,5.55,43.96 
1432,大魯閣,60,60,0.00 ,11077,-99.46 ,854274,13689,6140.59 ,10.4,7.06,47.31 
1434,福懋興業,2724805,2909874,-6.36 ,2175610,25.24 ,21508319,17048521,26.16 ,23.95,20.7,15.70 
1435,中福,2908,4689,-37.98 ,1856,56.68 ,26697,15239,75.19 ,9.11,2.92,211.99 
1436,福益,1366,2957,-53.80 ,619,120.68 ,9251,4438,108.45 ,8.19,7.85,4.33 
1437,勤益,167047,165532,0.92 ,133301,25.32 ,1212546,933713,29.86 ,19.9,19.1,4.19 
1438,裕豐,11774,11784,-0.08 ,1184,894.43 ,72437,7898,817.16 ,1.9,0.85,123.53 
1439,中和羊毛,27424,41762,-34.33 ,24514,11.87 ,327061,181171,80.53 ,41.9,14.1,197.16 
1440,南紡,1260697,1150733,9.56 ,994260,26.80 ,9592025,7028461,36.47 ,14.6,10.15,43.84 
1441,大東紡織,132791,146258,-9.21 ,88419,50.18 ,1049503,921538,13.89 ,7.3,4.37,67.05 
1442,名軒,44219,52722,-16.13 ,176061,-74.88 ,1120908,931514,20.33 ,20.5,15.7,30.57 
1443,立益紡織,106426,145347,-26.78 ,111259,-4.34 ,1037794,741710,39.92 ,3.64,2.36,54.24 
1444,力麗,835421,922245,-9.41 ,607985,37.41 ,6475953,4636152,39.68 ,14,5.95,135.29 
1445,大宇紡織,179182,201830,-11.22 ,169824,5.51 ,1400738,1268656,10.41 ,8.31,6.1,36.23 
1446,宏和,78755,89244,-11.75 ,69127,13.93 ,641559,619696,3.53 ,16.8,7.86,113.74 
