公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,99,99,與上月比較增減%,98,與去年同月比較增減%,99,98,與去年同期比較增減%,99.05,98.05,與去年同期比較增減%
1101,台泥,1790788,1848309,-3.1 ,1739868,2.9,9156512,8579764,6.7,27.35,34,-19.56
1102,亞泥,798378,781108,2.2 ,958670,-16.7,3918736,4343756,-9.8,27.8,36.6,-24.04
1103,嘉泥,166298,159299,4.4 ,202270,-17.8,791824,997865,-20.7,13.3,18.7,-28.88
1104,環球水泥,272962,284660,-4.1 ,238353,14.5,1287223,1056215,21.9,14.15,17.05,-17.01
1108,幸福水泥,228733,217244,5.3 ,262742,-12.9,1109325,1093526,1.4,7.07,8.15,-13.25
1109,信大水泥,100393,100314,0.1 ,128051,-21.6,505516,607570,-16.8,9.67,10.2,-5.2
1110,東泥,127040,119016,6.7 ,137971,-7.9,588027,686344,-14.3,10.7,12.8,-16.41
1201,味全公司,1180106,1075394,9.7 ,1079333,9.3,5177760,4741327,9.2,34.3,32.9,4.26
1203,味王公司,142084,150445,-5.6 ,403081,-64.8,768984,1416381,-45.7,23,22.9,0.44
1210,大成長城,1656972,1674334,-1.0 ,1708356,-3,8552330,8362096,2.3,26.2,35.1,-25.36
1213,大飲,44636,44117,1.2 ,49431,-9.7,256399,250749,2.3,11.8,9.52,23.95
1215,卜蜂企業,1126634,1169039,-3.6 ,967852,16.4,5585880,5126943,9,15.15,16.6,-8.73
1216,統一,4066771,3903286,4.2 ,3615057,12.5,18761779,17387549,7.9,33.2,36.05,-7.91
1217,愛之味,234766,207415,13.2 ,303733,-22.7,1407021,1505852,-6.6,11.4,12.9,-11.63
1218,泰山企業,587068,587208,0.0 ,603343,-2.7,2810482,2865570,-1.9,13.9,12.7,9.45
1219,福壽實業,686146,703953,-2.5 ,821044,-16.4,3485375,3810437,-8.5,11.55,10.6,8.96
