公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,100,100,與上月比較增減%,99,與去年同月比較增減%,100,99,與去年同期比較增減%,100.12 ,99.12 ,與去年同期比較增減%
1101,台泥,2072570,2001210,3.57 ,2171125,-4.54 ,24050722,22097145,8.84 ,35.00 ,32.80 ,6.71 
1102,亞泥,1006050,952056,5.67 ,1051182,-4.29 ,10868073,9757253,11.38 ,34.00 ,32.25 ,5.43 
1103,嘉泥,84001,73876,13.71 ,203489,-58.72 ,877339,2003540,-56.21 ,11.85 ,17.20 ,-31.10 
1104,環球水泥,305778,260888,17.21 ,321858,-5.00 ,3325422,3143784,5.78 ,13.30 ,18.50 ,-28.11 
1108,幸福水泥,273250,247552,10.38 ,255518,6.94 ,3195259,2760164,15.76 ,5.31 ,7.92 ,-32.95 
1109,信大水泥,160548,139134,15.39 ,134944,18.97 ,1538398,1256041,22.48 ,10.55 ,10.25 ,2.93 
1110,東泥,173302,130836,32.46 ,148986,16.32 ,1441845,1447280,-0.38 ,10.10 ,13.45 ,-24.91 
1201,味全公司,1127058,1140226,-1.15 ,1075289,4.81 ,13833387,13237495,4.50 ,32.25 ,38.20 ,-15.58 
1203,味王公司,181302,142957,26.82 ,183896,-1.41 ,1963885,1936577,1.41 ,19.55 ,24.50 ,-20.20 
1210,大成長城,1993411,1974857,0.94 ,1956012,1.91 ,23071311,21029328,9.71 ,27.90 ,31.60 ,-11.71 
1213,大飲,51716,46812,10.48 ,51216,0.98 ,701808,676948,3.67 ,18.40 ,26.50 ,-30.57 
1215,卜蜂企業,1401975,1323675,5.92 ,1250767,12.09 ,15063586,14039428,7.29 ,14.20 ,19.90 ,-28.64 
1216,統一,3687244,4032392,-8.56 ,4043026,-8.80 ,51925437,48962385,6.05 ,44.25 ,43.25 ,2.31 
1217,愛之味,342088,201158,70.06 ,179663,90.41 ,3317757,3620967,-8.37 ,10.10 ,14.25 ,-29.12 
1218,泰山企業,695261,648485,7.21 ,610473,13.89 ,7770680,7271973,6.86 ,14.05 ,18.50 ,-24.05 
1219,福壽實業,922393,905288,1.89 ,788906,16.92 ,10219218,9002245,13.52 ,16.00 ,14.55 ,9.97 
1220,台榮,235559,260807,-9.68 ,300155,-21.52 ,3116943,2776783,12.25 ,9.52 ,14.05 ,-32.24 
1225,福懋油,882361,985718,-10.49 ,823067,7.20 ,9818213,8453150,16.15 ,12.55 ,15.35 ,-18.24 
1227,佳格,1323201,1097925,20.52 ,1097835,20.53 ,12544265,11423863,9.81 ,92.00 ,75.80 ,21.37 
1229,聯華實業,367752,381328,-3.56 ,366187,0.43 ,4085825,3288364,24.25 ,17.55 ,23.45 ,-25.16 
1231,聯華食品,623068,404837,53.91 ,496565,25.48 ,5320323,4433642,20.00 ,35.10 ,27.95 ,25.58 
1232,大統益,1389819,1425364,-2.49 ,1521279,-8.64 ,16631848,15629027,6.42 ,47.30 ,50.70 ,-6.71 
1233,天仁,189696,166763,13.75 ,157899,20.14 ,2040532,1870036,9.12 ,44.90 ,50.20 ,-10.56 
1234,黑松,374715,391725,-4.34 ,401330,-6.63 ,5416822,4414196,22.71 ,25.20 ,28.05 ,-10.16 
1235,興泰,62232,31165,99.69 ,30560,103.64 ,381886,398951,-4.28 ,22.75 ,37.25 ,-38.93 
1236,宏亞食品,324372,243416,33.26 ,241737,34.18 ,2480767,2069990,19.84 ,22.40 ,23.90 ,-6.28 
1301,台塑,13912169,14235136,-2.27 ,16516832,-15.77 ,187603314,194445986,-3.52 ,80.80 ,97.50 ,-17.13 
1303,南亞塑膠,16517071,14009171,17.90 ,17943630,-7.95 ,194021839,212248560,-8.59 ,60.10 ,72.70 ,-17.33 
1304,台聚,1012266,927823,9.10 ,1283688,-21.14 ,13228647,12591064,5.06 ,24.35 ,29.20 ,-16.61 
1305,華夏,719212,736249,-2.31 ,667922,7.68 ,9217770,8490360,8.57 ,8.94 ,13.15 ,-32.02 
1307,三芳化工,608310,582281,4.47 ,592394,2.69 ,7098960,6119984,16.00 ,21.90 ,35.15 ,-37.70 
1308,亞聚,454032,369754,22.79 ,585595,-22.47 ,6294688,6336758,-0.66 ,30.75 ,47.20 ,-34.85 
1309,台達化工,832954,822994,1.21 ,956575,-12.92 ,10834404,11086406,-2.27 ,11.15 ,13.35 ,-16.48 
1310,台苯,1272173,1254281,1.43 ,1029457,23.58 ,12874204,13061998,-1.44 ,6.95 ,15.15 ,-54.13 
1312,國喬石化,1582460,1491697,6.08 ,1210705,30.71 ,19430479,16543108,17.45 ,13.00 ,20.85 ,-37.65 
1313,聯成,616531,555224,11.04 ,586977,5.03 ,7238527,8460967,-14.45 ,15.50 ,24.20 ,-35.95 
1314,中石化,3287396,2381393,38.05 ,3249691,1.16 ,42596896,39148718,8.81 ,26.95 ,28.90 ,-6.75 
1315,達新工業,208156,190175,9.45 ,222808,-6.58 ,2462247,2368685,3.95 ,27.60 ,27.40 ,0.73 
1316,上曜,18614,19753,-5.77 ,20005,-6.95 ,198739,199617,-0.44 ,16.50 ,21.10 ,-21.80 
1319,東陽,1176325,1193333,-1.43 ,1079235,9.00 ,12923038,10552423,22.47 ,32.50 ,43.00 ,-24.42 
1321,大洋,377290,435318,-13.33 ,398299,-5.27 ,5069933,5348005,-5.20 ,19.25 ,24.25 ,-20.62 
1323,永裕,149025,154359,-3.46 ,152612,-2.35 ,1672066,1641082,1.89 ,17.35 ,26.65 ,-34.90 
1324,地球工業,98251,125379,-21.64 ,134075,-26.72 ,1551166,1411965,9.86 ,11.00 ,19.90 ,-44.72 
1325,恒大,90591,78311,15.68 ,116127,-21.99 ,1039351,1131459,-8.14 ,18.50 ,25.10 ,-26.29 
1326,台化,20952871,19105037,9.67 ,26437491,-20.75 ,280813593,283121200,-0.82 ,79.90 ,98.20 ,-18.64 
1402,遠東新,4989265,5047572,-1.16 ,4947055,0.85 ,61556946,53758878,14.51 ,35.15 ,49.40 ,-28.85 
1409,新纖,2309814,1847513,25.02 ,2079835,11.06 ,26745283,25317696,5.64 ,8.04 ,16.10 ,-50.06 
1410,南染,29539,30141,-2.00 ,30181,-2.13 ,367657,326038,12.77 ,16.10 ,22.75 ,-29.23 
1413,宏洲化工,301243,334220,-9.87 ,387729,-22.31 ,4315077,4255446,1.40 ,5.00 ,10.30 ,-51.46 
1414,東和,109709,113131,-3.02 ,118384,-7.33 ,1297168,3004222,-56.82 ,11.65 ,14.25 ,-18.25 
1416,廣豐,15745,17751,-11.30 ,25923,-39.26 ,187298,253676,-26.17 ,10.50 ,14.80 ,-29.05 
1417,嘉裕,168604,165600,1.81 ,124428,35.50 ,1371002,1228112,11.63 ,8.30 ,11.65 ,-28.76 
1418,東華,369480,153697,140.40 ,244568,51.07 ,3078739,3297501,-6.63 ,7.05 ,10.05 ,-29.85 
1419,新紡,91768,100049,-8.28 ,90919,0.93 ,949311,781690,21.44 ,32.50 ,55.50 ,-41.44 
1423,利華羊毛,94123,111924,-15.90 ,116616,-19.29 ,1395924,1099224,26.99 ,7.18 ,8.91 ,-19.42 
1432,大魯閣,1699,1472,15.42 ,381416,-99.55 ,14390,1236267,-98.84 ,8.00 ,19.15 ,-58.22 
1434,福懋興業,2959823,2808188,5.40 ,3057604,-3.20 ,36235717,32816551,10.42 ,28.05 ,28.40 ,-1.23 
1435,中福,2100,1938,8.36 ,1816,15.64 ,24362,34935,-30.26 ,3.35 ,8.28 ,-59.54 
1436,福益,1374906,826,166353.51 ,2748,49932.97 ,1383487,14365,9530.96 ,12.75 ,9.30 ,37.10 
1437,勤益,60665,63429,-4.36 ,118444,-48.78 ,1191038,1732778,-31.26 ,13.80 ,27.20 ,-49.26 
1438,裕豐,0,213,-100.00 ,0,NA,43925,139082,-68.42 ,1.81 ,3.22 ,-43.79 
1439,中和羊毛,56444,79824,-29.29 ,31666,78.25 ,694189,492728,40.89 ,20.50 ,41.00 ,-50.00 
1440,南紡,1408016,1315410,7.04 ,1713980,-17.85 ,17184776,15639483,9.88 ,10.20 ,21.75 ,-53.10 
1441,大東紡織,134007,129831,3.22 ,142756,-6.13 ,1777283,1592298,11.62 ,10.15 ,9.24 ,9.85 
1442,名軒,234024,205927,13.64 ,260712,-10.24 ,2252138,1487708,51.38 ,23.00 ,26.00 ,-11.54 
1443,立益紡織,117348,73351,59.98 ,117348,0.00 ,967769,1556688,-37.83 ,5.20 ,3.76 ,38.30 
1444,力麗,1051558,842013,24.89 ,1087672,-3.32 ,13211272,10082292,31.03 ,9.66 ,17.80 ,-45.73 
1445,大宇紡織,184604,155116,19.01 ,204697,-9.82 ,2308517,2167935,6.48 ,7.10 ,9.52 ,-25.42 
1446,宏和,21983,19557,12.40 ,58766,-62.59 ,532879,918694,-42.00 ,13.60 ,18.75 ,-27.47 
1447,力鵬,2239308,1867862,19.89 ,2061361,8.63 ,25401381,24073647,5.52 ,8.00 ,16.15 ,-50.46 
1449,佳和實業,190145,188722,0.75 ,199102,-4.50 ,2137438,2023410,5.64 ,2.21 ,3.54 ,-37.57 
1451,年興紡織,906714,1058387,-14.33 ,944093,-3.96 ,11126784,10018204,11.07 ,20.05 ,24.65 ,-18.66 
1452,宏益,188598,170706,10.48 ,221212,-14.74 ,2286355,2152629,6.21 ,8.79 ,17.70 ,-50.34 
1453,大將,8142,8371,-2.74 ,41373,-80.32 ,219050,458997,-52.28 ,8.50 ,11.30 ,-24.78 
1454,台富,174643,178994,-2.43 ,237097,-26.34 ,2636567,2539861,3.81 ,7.09 ,8.95 ,-20.78 
1455,集盛,1534419,1328223,15.52 ,1620036,-5.28 ,18967110,17283600,9.74 ,10.90 ,16.70 ,-34.73 
1456,怡華,189980,171523,10.76 ,196482,-3.31 ,2135559,2092482,2.06 ,1.91 ,2.80 ,-31.79 
1457,宜進,440208,398858,10.37 ,369908,19.00 ,6033089,4301184,40.27 ,6.82 ,13.05 ,-47.74 
1459,聯發紡織,311078,240830,29.17 ,353641,-12.04 ,2919014,3359552,-13.11 ,9.52 ,16.90 ,-43.67 
1460,宏遠,582427,637559,-8.65 ,463757,25.59 ,6350252,4808242,32.07 ,6.50 ,7.71 ,-15.69 
1463,強盛染整,43592,33500,30.13 ,47742,-8.69 ,551885,581741,-5.13 ,7.65 ,11.45 ,-33.19 
1464,得力實業,179363,184828,-2.96 ,171465,4.61 ,1986514,1776018,11.85 ,9.30 ,13.30 ,-30.08 
1465,偉全實業,130481,117783,10.78 ,130754,-0.21 ,1898548,1464035,29.68 ,13.15 ,17.60 ,-25.28 
1466,聚隆,494983,363609,36.13 ,605824,-18.30 ,5869801,5663039,3.65 ,16.25 ,35.15 ,-53.77 
1467,南緯實業,330267,237394,39.12 ,353874,-6.67 ,3524039,4028738,-12.53 ,8.38 ,12.75 ,-34.27 
1468,昶和纖維,57768,47330,22.05 ,65955,-12.41 ,697185,660566,5.54 ,11.55 ,16.90 ,-31.66 
1469,理隆纖維,14332,25015,-42.71 ,52147,-72.52 ,813852,738440,10.21 ,9.10 ,12.00 ,-24.17 
1470,大統染,49542,58530,-15.36 ,83248,-40.49 ,789031,811037,-2.71 ,13.60 ,11.45 ,18.78 
1471,首利,582812,637113,-8.52 ,589549,-1.14 ,6849160,8123384,-15.69 ,10.10 ,20.10 ,-49.75 
1472,三洋紡,57472,48351,18.86 ,117611,-51.13 ,1177177,922384,27.62 ,8.82 ,6.90 ,27.83 
1473,台南企業,800233,528364,51.45 ,653873,22.38 ,7409444,6926945,6.97 ,35.30 ,45.20 ,-21.90 
1474,弘裕,268268,290290,-7.59 ,382398,-29.85 ,3670064,3439741,6.70 ,7.39 ,11.30 ,-34.60 
1475,本盟光電,26389,22236,18.68 ,59521,-55.66 ,382659,815147,-53.06 ,7.59 ,13.75 ,-44.80 
1476,儒鴻,816577,923344,-11.56 ,773855,5.52 ,10783386,8448960,27.63 ,45.90 ,38.45 ,19.38 
1477,聚陽實業,913311,1006903,-9.30 ,688628,32.63 ,14864936,14126339,5.23 ,70.10 ,68.50 ,2.34 
1503,士電,1366545,1214547,12.51 ,1512011,-9.62 ,16154539,14847774,8.80 ,32.00 ,40.05 ,-20.10 
1504,東元電機,2279528,2122029,7.42 ,2048406,11.28 ,26028227,23412019,11.17 ,17.85 ,19.50 ,-8.46 
1506,正道,95838,85966,11.48 ,85188,12.50 ,1004362,808656,24.20 ,26.95 ,28.10 ,-4.09 
1507,永大機電,341580,344489,-0.84 ,346687,-1.47 ,3797902,3731475,1.78 ,45.60 ,43.80 ,4.11 
1512,瑞利,286465,303424,-5.59 ,304908,-6.05 ,2810309,2612766,7.56 ,7.10 ,9.01 ,-21.20 
1513,中興電,516385,685171,-24.63 ,632697,-18.38 ,7500347,7332954,2.28 ,15.35 ,17.90 ,-14.25 
1514,亞力電機,358910,249896,43.62 ,513268,-30.07 ,3343688,3196241,4.61 ,7.24 ,11.65 ,-37.85 
1515,力山,174676,237961,-26.59 ,253879,-31.20 ,2422168,3336522,-27.40 ,4.80 ,9.97 ,-51.86 
1516,川飛,24583,23464,4.77 ,47,52204.26 ,58212,174060,-66.56 ,5.15 ,2.71 ,90.04 
1517,利奇機械,230369,177724,29.62 ,238023,-3.22 ,2114289,2202528,-4.01 ,10.75 ,14.90 ,-27.85 
1519,華城電機,614089,346206,77.38 ,601934,2.02 ,4541532,5310091,-14.47 ,12.95 ,23.40 ,-44.66 
1521,大億,415953,345520,20.38 ,361587,15.04 ,4185204,3871392,8.11 ,56.50 ,64.00 ,-11.72 
1522,堤維西,755627,758387,-0.36 ,777686,-2.84 ,8413227,8379432,0.40 ,11.80 ,19.90 ,-40.70 
1524,耿鼎公司,286827,271200,5.76 ,304505,-5.81 ,3145432,3320381,-5.27 ,6.93 ,10.30 ,-32.72 
1525,江申工業,118040,107658,9.64 ,106281,11.06 ,1305855,1170626,11.55 ,39.00 ,56.70 ,-31.22 
1526,日馳,57863,46543,24.32 ,56478,2.45 ,624608,574588,8.71 ,7.14 ,7.65 ,-6.67 
1527,鑽全,223841,224702,-0.38 ,218473,2.46 ,2779555,2735554,1.61 ,20.20 ,25.55 ,-20.94 
1528,恩德,157643,278620,-43.42 ,233330,-32.44 ,2817403,2815198,0.08 ,13.65 ,16.50 ,-17.27 
1529,樂士,3748,6777,-44.70 ,53670,-93.02 ,105548,218872,-51.78 ,3.27 ,4.59 ,-28.76 
1530,亞崴機電,372759,363870,2.44 ,298176,25.01 ,3208039,2641602,21.44 ,26.60 ,35.00 ,-24.00 
1531,高林股,165133,149301,10.60 ,246128,-32.91 ,3391166,3632674,-6.65 ,19.70 ,26.90 ,-26.77 
1532,勤美,450557,471676,-4.48 ,601362,-25.08 ,5055280,4504765,12.22 ,19.05 ,33.40 ,-42.96 
1533,車王電,128092,133256,-3.88 ,103147,24.18 ,1483154,1420526,4.41 ,16.20 ,22.65 ,-28.48 
1535,中宇,945644,746557,26.67 ,904758,4.52 ,8432631,7490171,12.58 ,53.60 ,50.30 ,6.56 
1536,和大工業,245303,222164,10.42 ,216286,13.42 ,2654575,2357095,12.62 ,10.45 ,15.05 ,-30.56 
1537,廣隆光電,378024,350922,7.72 ,344687,9.67 ,4041963,3480162,16.14 ,41.00 ,58.30 ,-29.67 
1538,正峰新,75282,69400,8.48 ,81589,-7.73 ,940886,1144305,-17.78 ,20.05 ,36.80 ,-45.52 
1539,巨庭機械,77399,101947,-24.08 ,102047,-24.15 ,1042087,1042211,-0.01 ,5.84 ,8.62 ,-32.25 
1540,喬福機械,166167,107589,54.45 ,165086,0.65 ,1320817,1174121,12.49 ,17.30 ,23.20 ,-25.43 
1541,錩泰,118236,92099,28.38 ,103683,14.04 ,1069856,1296099,-17.46 ,8.70 ,17.50 ,-50.29 
1560,中砂,293922,309941,-5.17 ,287125,2.37 ,3840561,3296820,16.49 ,32.95 ,59.40 ,-44.53 
1582,信錦,106340,121008,-12.12 ,84305,26.14 ,1423287,1146148,24.18 ,32.40 ,49.15 ,-34.08 
1583,程泰,342827,174933,95.98 ,185411,84.90 ,2585970,1928404,34.10 ,39.10 ,38.40 ,1.82 
1603,華電,184153,285723,-35.55 ,458102,-59.80 ,3463930,2778201,24.68 ,7.56 ,12.40 ,-39.03 
1604,聲寶,960210,636460,50.87 ,779404,23.20 ,8727187,8502729,2.64 ,8.38 ,8.84 ,-5.20 
1605,華新,5163622,5366914,-3.79 ,5717427,-9.69 ,74246866,78745529,-5.71 ,8.72 ,18.50 ,-52.86 
1608,華榮,928444,617638,50.32 ,811970,14.34 ,9945838,10028311,-0.82 ,7.27 ,12.20 ,-40.41 
1609,大亞電線,1002798,743283,34.91 ,923118,8.63 ,9227592,8869161,4.04 ,7.64 ,9.03 ,-15.39 
1611,中電,663469,668236,-0.71 ,535616,23.87 ,6912830,6127187,12.82 ,18.45 ,24.20 ,-23.76 
1612,宏泰,399093,341415,16.89 ,402161,-0.76 ,5667510,5623886,0.78 ,8.97 ,14.95 ,-40.00 
1613,台一,441754,423698,4.26 ,565459,-21.88 ,6209410,5736285,8.25 ,4.40 ,5.65 ,-22.12 
1614,三洋電,456147,398605,14.44 ,514766,-11.39 ,6280145,6978551,-10.01 ,27.75 ,37.20 ,-25.40 
1615,大山,244358,212059,15.23 ,253928,-3.77 ,3895974,3796240,2.63 ,10.80 ,14.90 ,-27.52 
1616,億泰,211707,402719,-47.43 ,308554,-31.39 ,3995265,3614488,10.53 ,3.60 ,6.97 ,-48.35 
1617,榮星電線,353139,308132,14.61 ,444497,-20.55 ,4758844,5099729,-6.68 ,11.75 ,14.40 ,-18.40 
1618,合機公司,242450,119076,103.61 ,235398,3.00 ,3344803,3668882,-8.83 ,8.89 ,22.90 ,-61.18 
