公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,100,100,與上月比較增減%,99,與去年同月比較增減%,100,99,與去年同期比較增減%,100.09 ,99.09 ,與去年同期比較增減%
1101,台泥,1994169,1984646,0.48 ,1804805,10.49 ,17910011,16344206,9.58 ,32.90 ,33.40 ,-1.50 
1102,亞泥,1027035,871181,17.89 ,742167,38.38 ,7977702,6726303,18.60 ,31.95 ,31.85 ,0.31 
1103,嘉泥,23969,21831,9.79 ,131120,-81.72 ,667815,1459386,-54.24 ,15.25 ,15.15 ,0.66 
1104,環球水泥,284425,270906,4.99 ,227725,24.90 ,2474246,2276832,8.67 ,14.40 ,17.15 ,-16.03 
1108,幸福水泥,288899,285623,1.15 ,244932,17.95 ,2403260,2032337,18.25 ,6.21 ,7.55 ,-17.75 
1109,信大水泥,115631,118585,-2.49 ,108538,6.54 ,1108329,891149,24.37 ,10.25 ,9.89 ,3.64 
1110,東泥,97367,95690,1.75 ,99898,-2.53 ,1023972,1034013,-0.97 ,10.15 ,12.55 ,-19.12 
1201,味全公司,1236898,1263103,-2.07 ,1190111,3.93 ,10404128,9992508,4.12 ,28.40 ,37.45 ,-24.17 
1203,味王公司,151566,180603,-16.08 ,148189,2.28 ,1500268,1445402,3.80 ,20.65 ,24.25 ,-14.85 
1210,大成長城,2110835,2013621,4.83 ,1703744,23.89 ,17058092,15494751,10.09 ,28.00 ,31.10 ,-9.97 
1213,大飲,54892,102626,-46.51 ,62412,-12.05 ,557345,540425,3.13 ,17.40 ,24.65 ,-29.41 
1215,卜蜂企業,1368124,1307175,4.66 ,1201537,13.86 ,11010909,10364393,6.24 ,13.85 ,19.10 ,-27.49 
1216,統一,4484161,4875928,-8.03 ,4228428,6.05 ,39898182,36810333,8.39 ,39.90 ,40.55 ,-1.60 
1217,愛之味,270518,445076,-39.22 ,262298,3.13 ,2541255,2931509,-13.31 ,9.40 ,14.10 ,-33.33 
1218,泰山企業,773901,784931,-1.41 ,693581,11.58 ,5813383,5409984,7.46 ,14.90 ,17.20 ,-13.37 
1219,福壽實業,983079,913024,7.67 ,793607,23.87 ,7448302,6597910,12.89 ,16.40 ,13.70 ,19.71 
1220,台榮,300409,302007,-0.53 ,233825,28.48 ,2340278,2013058,16.25 ,10.20 ,12.90 ,-20.93 
1225,福懋油,860591,862646,-0.24 ,664565,29.50 ,7095048,5924274,19.76 ,13.05 ,15.35 ,-14.98 
1227,佳格,949591,981117,-3.21 ,961342,-1.22 ,9106975,8342647,9.16 ,84.00 ,74.60 ,12.60 
1229,聯華實業,320159,341131,-6.15 ,270931,18.17 ,2981440,2270114,31.33 ,16.75 ,19.85 ,-15.62 
1231,聯華食品,397595,417931,-4.87 ,358296,10.97 ,3905357,3267597,19.52 ,37.50 ,24.10 ,55.60 
1232,大統益,1433842,1523877,-5.91 ,1356053,5.74 ,12527509,11220558,11.65 ,46.90 ,40.80 ,14.95 
1233,天仁,178880,182535,-2.00 ,177635,0.70 ,1541230,1411247,9.21 ,49.00 ,50.60 ,-3.16 
1234,黑松,352465,601250,-41.38 ,304356,15.81 ,4231160,3381750,25.12 ,29.00 ,24.35 ,19.10 
1235,興泰,39633,29666,33.60 ,44184,-10.30 ,255166,306749,-16.82 ,24.50 ,48.55 ,-49.54 
1236,宏亞食品,259868,160035,62.38 ,255692,1.63 ,1689732,1489532,13.44 ,21.45 ,23.60 ,-9.11 
1301,台塑,13048763,15821342,-17.52 ,15551056,-16.09 ,146836870,146194050,0.44 ,81.70 ,76.70 ,6.52 
1303,南亞塑膠,14258887,15598114,-8.59 ,17157259,-16.89 ,149825893,160955618,-6.91 ,66.30 ,68.40 ,-3.07 
1304,台聚,1086800,1318462,-17.57 ,1004232,8.22 ,10317409,9121484,13.11 ,30.00 ,25.80 ,16.28 
1305,華夏,616802,742042,-16.88 ,715257,-13.76 ,7159345,6350829,12.73 ,8.72 ,11.70 ,-25.47 
1307,三芳化工,650990,636183,2.33 ,508129,28.12 ,5267512,4310976,22.19 ,23.60 ,38.60 ,-38.86 
1308,亞聚,431601,576173,-25.09 ,477340,-9.58 ,5118108,4689738,9.13 ,38.00 ,30.90 ,22.98 
1309,台達化工,931074,741924,25.49 ,934118,-0.33 ,8316757,8122036,2.40 ,12.00 ,11.85 ,1.27 
1310,台苯,995777,636216,56.52 ,1105891,-9.96 ,9078371,9680686,-6.22 ,7.36 ,13.60 ,-45.88 
1312,國喬石化,1584046,1766291,-10.32 ,1348775,17.44 ,14833716,12352385,20.09 ,12.80 ,15.10 ,-15.23 
1313,聯成,582563,631903,-7.81 ,732417,-20.46 ,5555045,6507736,-14.64 ,13.55 ,19.90 ,-31.91 
1314,中石化,4260319,4151953,2.61 ,3498883,21.76 ,33753166,29295520,15.22 ,33.05 ,22.30 ,48.21 
1315,達新工業,216497,275860,-21.52 ,215631,0.40 ,1899275,1762723,7.75 ,28.55 ,24.00 ,18.96 
1316,上曜,22567,15290,47.59 ,16872,33.75 ,142759,141429,0.94 ,21.80 ,10.85 ,100.92 
1319,東陽,1051958,1035638,1.58 ,1050342,0.15 ,9437725,7305301,29.19 ,28.15 ,53.80 ,-47.68 
1321,大洋,385038,438828,-12.26 ,462942,-16.83 ,3942295,4098785,-3.82 ,19.00 ,22.75 ,-16.48 
1323,永裕,139492,134383,3.80 ,139656,-0.12 ,1224026,1182428,3.52 ,18.35 ,22.85 ,-19.69 
1324,地球工業,132547,153278,-13.53 ,137745,-3.77 ,1209678,1035907,16.77 ,12.15 ,23.40 ,-48.08 
1325,恒大,77782,63198,23.08 ,103892,-25.13 ,787031,800845,-1.72 ,17.70 ,25.50 ,-30.59 
1326,台化,21822057,21638189,0.85 ,21522518,1.39 ,219934197,209070268,5.20 ,79.60 ,75.50 ,5.43 
1402,遠東新,4944615,5120241,-3.43 ,4223220,17.08 ,46512233,39211713,18.62 ,31.50 ,43.00 ,-26.74 
1409,新纖,2005904,2184470,-8.17 ,1970943,1.77 ,20497087,18996829,7.90 ,9.01 ,13.05 ,-30.96 
1410,南染,34001,32252,5.42 ,31661,7.39 ,280005,239354,16.98 ,15.00 ,16.55 ,-9.37 
1413,宏洲化工,351592,320909,9.56 ,324843,8.23 ,3385276,3115756,8.65 ,5.11 ,9.90 ,-48.38 
1414,東和,122454,146159,-16.22 ,113132,8.24 ,972629,2624411,-62.94 ,10.65 ,7.20 ,47.92 
1416,廣豐,11954,12001,-0.39 ,11805,1.26 ,118284,186353,-36.53 ,9.90 ,9.16 ,8.08 
1417,嘉裕,81838,117565,-30.39 ,83832,-2.38 ,908611,862176,5.39 ,8.42 ,11.40 ,-26.14 
1418,東華,266076,205487,29.49 ,263267,1.07 ,2271825,2238067,1.51 ,8.02 ,9.66 ,-16.98 
1419,新紡,110447,62906,75.57 ,69957,57.88 ,632967,480089,31.84 ,35.20 ,40.00 ,-12.00 
1423,利華羊毛,73684,85898,-14.22 ,67601,9.00 ,1104231,768585,43.67 ,7.73 ,8.18 ,-5.50 
1432,大魯閣,461,461,0.00 ,60,668.33 ,10758,854334,-98.74 ,11.40 ,10.05 ,13.43 
1434,福懋興業,2996821,2940187,1.93 ,2742761,9.26 ,27559945,24251080,13.64 ,27.75 ,25.40 ,9.25 
1435,中福,1939,1981,-2.12 ,1926,0.67 ,18356,28623,-35.87 ,3.85 ,9.88 ,-61.03 
1436,福益,776,803,-3.36 ,799,-2.88 ,6914,10050,-31.20 ,11.35 ,9.00 ,26.11 
1437,勤益,91131,110657,-17.65 ,148845,-38.77 ,997917,1361391,-26.70 ,14.90 ,21.35 ,-30.21 
1438,裕豐,3613,5075,-28.81 ,11842,-69.49 ,41651,84279,-50.58 ,2.52 ,2.10 ,20.00 
1439,中和羊毛,97265,48400,100.96 ,48632,100.00 ,488850,375693,30.12 ,19.10 ,42.40 ,-54.95 
1440,南紡,1669498,1474403,13.23 ,1390468,20.07 ,13252137,10982493,20.67 ,13.55 ,17.10 ,-20.76 
1441,大東紡織,122319,149125,-17.98 ,123754,-1.16 ,1383528,1173257,17.92 ,14.90 ,7.32 ,103.55 
1442,名軒,226362,78327,189.00 ,13927,1525.35 ,1529138,1134835,34.75 ,23.20 ,22.90 ,1.31 
1443,立益紡織,46168,42894,7.63 ,76404,-39.57 ,730014,1114198,-34.48 ,6.03 ,3.80 ,58.68 
1444,力麗,1368936,1237648,10.61 ,810612,68.88 ,10396531,7286565,42.68 ,10.65 ,17.15 ,-37.90 
1445,大宇紡織,207050,210549,-1.66 ,186705,10.90 ,1777255,1587443,11.96 ,7.59 ,8.85 ,-14.24 
1446,宏和,28929,25193,14.83 ,83329,-65.28 ,463904,724888,-36.00 ,16.75 ,16.50 ,1.52 
1447,力鵬,2633904,3097630,-14.97 ,2247993,17.17 ,20332883,17190042,18.28 ,10.30 ,15.75 ,-34.60 
1449,佳和實業,167610,156386,7.18 ,170445,-1.66 ,1603254,1501656,6.77 ,2.71 ,4.02 ,-32.59 
1451,年興紡織,838987,949120,-11.60 ,881807,-4.86 ,8304018,7224876,14.94 ,20.40 ,21.60 ,-5.56 
1452,宏益,190093,189264,0.44 ,179641,5.82 ,1755871,1528641,14.86 ,9.75 ,13.60 ,-28.31 
1453,大將,13144,12646,3.94 ,38634,-65.98 ,189554,328919,-42.37 ,8.55 ,12.90 ,-33.72 
1454,台富,228155,239468,-4.72 ,192570,18.48 ,2071431,1857084,11.54 ,7.70 ,9.05 ,-14.92 
1455,集盛,1674106,1880396,-10.97 ,1486783,12.60 ,14785544,12462427,18.64 ,13.95 ,15.50 ,-10.00 
1456,怡華,176243,146956,19.93 ,176031,0.12 ,1616533,1521345,6.26 ,1.98 ,2.40 ,-17.50 
1457,宜進,493022,494580,-0.32 ,338516,45.64 ,4738716,2989309,58.52 ,7.86 ,10.70 ,-26.54 
1459,聯發紡織,293666,340872,-13.85 ,329827,-10.96 ,2147421,2365766,-9.23 ,11.65 ,13.75 ,-15.27 
1460,宏遠,611495,534460,14.41 ,409770,49.23 ,4454345,3369878,32.18 ,5.65 ,7.32 ,-22.81 
1463,強盛染整,42839,48759,-12.14 ,46241,-7.36 ,426972,432352,-1.24 ,9.49 ,10.25 ,-7.41 
1464,得力實業,210200,141078,49.00 ,146808,43.18 ,1407665,1241055,13.42 ,9.78 ,14.10 ,-30.64 
1465,偉全實業,189443,202949,-6.65 ,137636,37.64 ,1504505,1084955,38.67 ,13.95 ,18.50 ,-24.59 
1466,聚隆,513846,588669,-12.71 ,466380,10.18 ,4567447,3877257,17.80 ,20.00 ,27.80 ,-28.06 
1467,南緯實業,328117,427253,-23.20 ,376653,-12.89 ,2636308,2928294,-9.97 ,9.06 ,12.15 ,-25.43 
1468,昶和纖維,55457,35920,54.39 ,51599,7.48 ,560443,500298,12.02 ,9.45 ,16.80 ,-43.75 
1469,理隆纖維,73458,67849,8.27 ,64190,14.44 ,731388,600208,21.86 ,9.08 ,13.05 ,-30.42 
1470,大統染,58778,53308,10.26 ,64158,-8.39 ,617677,583633,5.83 ,11.55 ,10.55 ,9.48 
1471,首利,611541,609996,0.25 ,616863,-0.86 ,4947133,6438608,-23.16 ,10.00 ,24.50 ,-59.18 
1472,三洋纖,103913,98249,5.76 ,77605,33.90 ,1014477,629718,61.10 ,8.47 ,7.10 ,19.30 
1473,台南企業,595564,595181,0.06 ,520072,14.52 ,5600683,5283664,6.00 ,34.80 ,45.70 ,-23.85 
1474,弘裕,300049,305006,-1.63 ,296429,1.22 ,2864177,2348189,21.97 ,8.64 ,12.60 ,-31.43 
1475,本盟光電,20294,19674,3.15 ,78371,-74.11 ,313549,605138,-48.19 ,6.57 ,13.65 ,-51.87 
1476,儒鴻,967428,958215,0.96 ,795856,21.56 ,7676332,6245938,22.90 ,40.75 ,38.85 ,4.89 
1477,聚陽實業,1552211,1298971,19.50 ,1639105,-5.30 ,10723373,10628041,0.90 ,65.40 ,73.40 ,-10.90 
1503,士電,1235531,1543464,-19.95 ,1084388,13.94 ,12244542,10777732,13.61 ,31.10 ,35.90 ,-13.37 
1504,東元電機,2288804,2596117,-11.84 ,1893793,20.86 ,19579947,17601933,11.24 ,16.55 ,18.10 ,-8.56 
1506,正道,84829,76182,11.35 ,75621,12.18 ,737675,579845,27.22 ,21.25 ,17.10 ,24.27 
1507,永大機電,319292,316335,0.93 ,324661,-1.65 ,2795944,2769658,0.95 ,47.80 ,39.90 ,19.80 
1512,瑞利,239032,224404,6.52 ,196239,21.81 ,1984303,1774007,11.85 ,7.35 ,8.39 ,-12.40 
1513,中興電,708691,526653,34.57 ,710692,-0.28 ,5697511,5611618,1.53 ,14.90 ,18.25 ,-18.36 
1514,亞力電機,299604,279605,7.15 ,303744,-1.36 ,2359122,1966782,19.95 ,7.87 ,12.40 ,-36.53 
1515,力山,298867,179801,66.22 ,363939,-17.88 ,1747125,2579850,-32.28 ,4.63 ,10.20 ,-54.61 
1516,川飛,0,762,-100.00 ,79,-100.00 ,10165,173948,-94.16 ,5.90 ,6.33 ,-6.79 
1517,利奇機械,203360,205068,-0.83 ,190302,6.86 ,1540719,1631039,-5.54 ,10.25 ,14.90 ,-31.21 
1519,華城電機,217328,396364,-45.17 ,522092,-58.37 ,3177438,3220081,-1.32 ,15.30 ,24.30 ,-37.04 
1521,大億,422504,347183,21.69 ,318135,32.81 ,3069808,2871140,6.92 ,54.30 ,71.00 ,-23.52 
1522,堤維西,731342,674912,8.36 ,701225,4.29 ,6151553,6081166,1.16 ,13.05 ,19.50 ,-33.08 
1524,耿鼎公司,266200,256521,3.77 ,247904,7.38 ,2310650,2411162,-4.17 ,7.08 ,11.70 ,-39.49 
1525,江申工業,101834,95848,6.25 ,85478,19.13 ,993397,852501,16.53 ,41.00 ,53.70 ,-23.65 
1526,日馳,42479,61970,-31.45 ,42219,0.62 ,471578,432765,8.97 ,7.02 ,6.91 ,1.59 
