公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,100,100,與上月比較增減%,99,與去年同月比較增減%,100,99,與去年同期比較增減%,100.03 ,99.03 ,與去年同期比較增減%
1101,台泥,2085036,1411427,47.73 ,1935701,7.71 ,5834409,5517415,5.75 ,36.00 ,29.95 ,20.20 
1102,亞泥,903106,657640,37.33 ,842170,7.24 ,2431250,2339250,3.93 ,33.60 ,31.00 ,8.39 
1103,嘉泥,165224,93848,76.05 ,169191,-2.34 ,445145,466227,-4.52 ,17.20 ,15.65 ,9.90 
1104,環球水泥,318716,194335,64.00 ,284688,11.95 ,839539,729602,15.07 ,18.95 ,16.25 ,16.62 
1108,幸福水泥,282921,164703,71.78 ,247121,14.49 ,738237,663348,11.29 ,7.53 ,8.13 ,-7.38 
1109,信大水泥,116997,74300,57.47 ,114602,2.09 ,313034,304809,2.70 ,10.30 ,10.15 ,1.48 
1110,東泥,137196,88192,55.57 ,129671,5.80 ,352847,341971,3.18 ,14.40 ,11.45 ,25.76 
1201,味全公司,1095331,896623,22.16 ,1034701,5.86 ,3101971,2922260,6.15 ,32.85 ,37.05 ,-11.34 
1203,味王公司,184092,149486,23.15 ,145379,26.63 ,521068,476455,9.36 ,22.55 ,26.60 ,-15.23 
1210,大成長城,2027686,1637680,23.81 ,1783707,13.68 ,5712757,5221024,9.42 ,31.15 ,32.65 ,-4.59 
1213,大飲,38449,50387,-23.69 ,43309,-11.22 ,151731,167646,-9.49 ,27.20 ,11.80 ,130.51 
1215,卜蜂企業,1266010,952927,32.85 ,1130915,11.95 ,3554378,3290206,8.03 ,18.65 ,14.50 ,28.62 
1216,統一,4086523,3440539,18.78 ,3732515,9.48 ,12311216,10791722,14.08 ,39.90 ,36.15 ,10.37 
1217,愛之味,267008,164641,62.18 ,232816,14.69 ,755140,964840,-21.73 ,12.65 ,12.90 ,-1.94 
1218,泰山企業,640575,506703,26.42 ,580946,10.26 ,1770438,1636205,8.20 ,17.15 ,12.80 ,33.98 
1219,福壽實業,838672,673246,24.57 ,725011,15.68 ,2295241,2095276,9.54 ,14.80 ,12.60 ,17.46 
1220,台榮,295919,169368,74.72 ,197694,49.69 ,682237,509804,33.82 ,13.70 ,10.25 ,33.66 
1225,福懋油,793746,624783,27.04 ,690140,15.01 ,2259338,1975040,14.39 ,14.60 ,15.60 ,-6.41 
