公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,100,100,與上月比較增減%,99,與去年同月比較增減%,100,99,與去年同期比較增減%,100.06 ,99.06 ,與去年同期比較增減%
1101,台泥,2041524,1969578,3.65 ,1695373,20.42 ,11983419,10851886,10.43 ,42.80 ,27.30 ,56.78 
1102,亞泥,867762,853139,1.71 ,654336,32.62 ,5078857,4573071,11.06 ,41.00 ,28.40 ,44.37 
1103,嘉泥,26530,53645,-50.55 ,153261,-82.69 ,600262,945085,-36.49 ,18.10 ,13.90 ,30.22 
1104,環球水泥,272765,260462,4.72 ,248162,9.91 ,1659645,1535385,8.09 ,18.20 ,13.70 ,32.85 
1108,幸福水泥,241100,256817,-6.12 ,210761,14.39 ,1552623,1320086,17.62 ,7.19 ,7.09 ,1.41 
1109,信大水泥,135569,156628,-13.45 ,86162,57.34 ,747799,591678,26.39 ,11.00 ,9.69 ,13.52 
1110,東泥,129529,116926,10.78 ,106742,21.35 ,721693,694769,3.88 ,12.10 ,10.90 ,11.01 
1201,味全公司,1179454,1226863,-3.86 ,1156319,2.00 ,6631551,6334079,4.70 ,32.55 ,38.25 ,-14.90 
1203,味王公司,137763,159538,-13.65 ,167409,-17.71 ,997598,936392,6.54 ,23.05 ,25.00 ,-7.80 
1210,大成長城,1636893,1820511,-10.09 ,1728509,-5.30 ,11064686,10280839,7.62 ,33.00 ,28.05 ,17.65 
1213,大飲,66172,47741,38.61 ,46457,42.44 ,315085,302856,4.04 ,28.60 ,11.70 ,144.44 
1215,卜蜂企業,1128987,1191362,-5.24 ,1105200,2.15 ,7116750,6691079,6.36 ,19.00 ,17.85 ,6.44 
1216,統一,4493538,4365390,2.94 ,4127597,8.87 ,25362533,22889376,10.80 ,41.60 ,35.60 ,16.85 
1217,愛之味,265414,222869,19.09 ,314686,-15.66 ,1453625,1721707,-15.57 ,13.15 ,12.60 ,4.37 
1218,泰山企業,583749,609534,-4.23 ,558028,4.61 ,3548374,3368508,5.34 ,17.70 ,17.45 ,1.43 
1219,福壽實業,803544,774530,3.75 ,723683,11.04 ,4644387,4209058,10.34 ,15.90 ,12.75 ,24.71 
1220,台榮,265366,266464,-0.41 ,247637,7.16 ,1444162,1222883,18.09 ,13.30 ,9.23 ,44.10 
1225,福懋油,761770,795671,-4.26 ,631144,20.70 ,4557632,3921662,16.22 ,14.65 ,13.30 ,10.15 
1227,佳格,861812,958312,-10.07 ,846767,1.78 ,6130840,5573680,10.00 ,107.00 ,78.30 ,36.65 
1229,聯華實業,337241,385077,-12.42 ,226550,48.86 ,2027599,1472425,37.70 ,21.80 ,15.80 ,37.97 
1231,聯華食品,466280,385451,20.97 ,335611,38.93 ,2586107,2047895,26.28 ,41.20 ,18.50 ,122.70 
1232,大統益,1332696,1388283,-4.00 ,1173551,13.56 ,8195581,7217027,13.56 ,54.40 ,42.00 ,29.52 
1233,天仁,170335,164567,3.50 ,141949,20.00 ,1016869,924216,10.03 ,56.40 ,52.00 ,8.46 
1234,黑松,509363,463857,9.81 ,354562,43.66 ,2770943,2017047,37.38 ,27.05 ,21.65 ,24.94 
1235,興泰,26368,27077,-2.62 ,41994,-37.21 ,162424,191777,-15.31 ,30.30 ,33.10 ,-8.46 
1236,宏亞食品,125899,166322,-24.30 ,97360,29.31 ,1111210,947431,17.29 ,24.40 ,25.40 ,-3.94 
1301,台塑,13830494,16802319,-17.69 ,15070890,-8.23 ,100985120,96577618,4.56 ,103.50 ,68.00 ,52.21 
1303,南亞塑膠,11686993,16394496,-28.71 ,18068906,-35.32 ,105805521,106824775,-0.95 ,76.60 ,51.70 ,48.16 
1304,台聚,980455,1080629,-9.27 ,985013,-0.46 ,6843824,6055699,13.01 ,33.05 ,19.80 ,66.92 
1305,華夏,837574,831675,0.71 ,674839,24.11 ,4982925,4192894,18.84 ,12.35 ,10.00 ,23.50 
1307,三芳化工,525643,572068,-8.12 ,466168,12.76 ,3485797,2868283,21.53 ,34.35 ,33.10 ,3.78 
1308,亞聚,487877,578932,-15.73 ,529878,-7.93 ,3608931,3154623,14.40 ,46.90 ,26.60 ,76.32 
1309,台達化工,902614,954938,-5.48 ,1029132,-12.29 ,5768176,5313271,8.56 ,17.00 ,11.90 ,42.86 
1310,台苯,1038697,1191584,-12.83 ,849650,22.25 ,6655572,6484266,2.64 ,11.60 ,13.35 ,-13.11 
1312,國喬石化,1579343,1485163,6.34 ,1286030,22.81 ,9721394,8211362,18.39 ,17.85 ,12.45 ,43.37 
1313,聯成,600001,550387,9.01 ,648542,-7.48 ,3815612,4111242,-7.19 ,23.00 ,17.20 ,33.72 
1314,中石化,3992505,3527291,13.19 ,3382169,18.05 ,21131884,19020428,11.10 ,32.80 ,16.30 ,101.23 
1315,達新工業,217077,191331,13.46 ,224335,-3.24 ,1163636,1037567,12.15 ,26.70 ,21.90 ,21.92 
1316,上曜,15454,20661,-25.20 ,12560,23.04 ,93983,100404,-6.40 ,23.90 ,10.45 ,128.71 
1319,東陽,985404,1077926,-8.58 ,744696,32.32 ,6254346,4638433,34.84 ,35.60 ,45.20 ,-21.24 
1321,大洋,428809,452959,-5.33 ,422225,1.56 ,2683231,2637576,1.73 ,20.00 ,19.55 ,2.30 
