公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,100,100,與上月比較增減%,99,與去年同月比較增減%,100,99,與去年同期比較增減%,100.02 ,99.02 ,與去年同期比較增減%
1101,台泥,1411427,2337946,-39.63 ,1526845,-7.56 ,3749374,3581714,4.68 ,29.40 ,29.60 ,-0.68 
1102,亞泥,657640,870505,-24.45 ,663196,-0.84 ,1528145,1497080,2.08 ,29.85 ,29.40 ,1.53 
1103,嘉泥,93848,186073,-49.56 ,117208,-19.93 ,279921,297036,-5.76 ,15.90 ,14.60 ,8.90 
1104,環球水泥,194335,326488,-40.48 ,161276,20.50 ,520823,444913,17.06 ,17.65 ,15.35 ,14.98 
1108,幸福水泥,164703,290613,-43.33 ,159414,3.32 ,455316,416227,9.39 ,7.21 ,7.45 ,-3.22 
1109,信大水泥,74300,121737,-38.97 ,70875,4.83 ,196037,190207,3.07 ,9.79 ,9.67 ,1.24 
1110,東泥,88192,127459,-30.81 ,78613,12.19 ,215651,212300,1.58 ,11.40 ,10.40 ,9.62 
1201,味全公司,896623,1110017,-19.22 ,896858,-0.03 ,2006640,1887559,6.31 ,32.35 ,32.25 ,0.31 
1203,味王公司,149486,187490,-20.27 ,152852,-2.20 ,336976,331075,1.78 ,23.15 ,23.90 ,-3.14 
1210,大成長城,1637680,2047391,-20.01 ,1598531,2.45 ,3685071,3437317,7.21 ,28.65 ,31.20 ,-8.17 
1213,大飲,50387,62895,-19.89 ,64934,-22.40 ,113282,124337,-8.89 ,24.00 ,9.29 ,158.34 
1215,卜蜂企業,952927,1335440,-28.64 ,966952,-1.45 ,2288368,2159291,5.98 ,17.80 ,13.50 ,31.85 
1216,統一,3440539,4784154,-28.08 ,3226826,6.62 ,8224693,7059207,16.51 ,37.75 ,35.60 ,6.04 
1217,愛之味,164641,323491,-49.10 ,341675,-51.81 ,488132,732024,-33.32 ,13.20 ,11.10 ,18.92 
1218,泰山企業,506703,623159,-18.69 ,465788,8.78 ,1129862,1055258,7.07 ,16.10 ,11.50 ,40.00 
1219,福壽實業,673246,783323,-14.05 ,638380,5.46 ,1456569,1370266,6.30 ,14.15 ,11.05 ,28.05 
