公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,99,99,與上月比較增減%,98,與去年同月比較增減%,99,98,與去年同期比較增減%,99.1,98.1,與去年同期比較增減%
1101,台泥,1703128,1804805,-5.63 ,1813170,-6.07 ,18047334,17532713,2.94 ,32.6,34,-4.12 
1102,亞泥,769693,742167,3.71 ,718057,7.19 ,7495996,8389879,-10.65 ,31.55,34.7,-9.08 
1103,嘉泥,164160,131120,25.20 ,164526,-0.22 ,1623547,1928233,-15.80 ,15.5,16.8,-7.74 
1104,環球水泥,271021,227725,19.01 ,261495,3.64 ,2547853,2683221,-5.04 ,19.2,15.65,22.68 
1108,幸福水泥,226055,244932,-7.71 ,228143,-0.92 ,2258392,2330657,-3.10 ,7.51,8.18,-8.19 
1109,信大水泥,119621,108538,10.21 ,100820,18.65 ,1010770,1174191,-13.92 ,10,10,0.00 
1110,東泥,126547,99898,26.68 ,148253,-14.64 ,1160560,1381191,-15.97 ,12.2,11.25,8.44 
1201,味全公司,1108691,1190111,-6.84 ,1095062,1.24 ,11101199,10474334,5.98 ,34.9,42.8,-18.46 
1203,味王公司,144402,148189,-2.56 ,156886,-7.96 ,1589804,2365444,-32.79 ,24.15,24.85,-2.82 
1210,大成長城,1716555,1703744,0.75 ,1750662,-1.95 ,17211306,16700621,3.06 ,32.1,34.25,-6.28 
1213,大飲,42954,62412,-31.18 ,49218,-12.73 ,583379,575724,1.33 ,21.15,9.02,134.48 
1215,卜蜂企業,1157070,1201537,-3.70 ,1188902,-2.68 ,11521463,10547441,9.23 ,19,15.8,20.25 
1216,統一,4186848,4228428,-0.98 ,3883188,7.82 ,40997181,37853109,8.31 ,39.8,36.8,8.15 
1217,愛之味,308734,262298,17.70 ,242546,27.29 ,3240243,3456780,-6.26 ,13.7,12.35,10.93 
1218,泰山企業,612818,693581,-11.64 ,585982,4.58 ,6022802,5988003,0.58 ,18,12.7,41.73 
1219,福壽實業,772320,793607,-2.68 ,797405,-3.15 ,7370230,7564433,-2.57 ,14.45,12,20.42 
1220,台榮,223469,233825,-4.43 ,222298,0.53 ,2236527,1873502,19.38 ,13.25,7.1,86.62 
1225,福懋油,852977,664565,28.35 ,665827,28.11 ,6777551,6393367,6.01 ,15.6,12.45,25.30 
1227,佳格,960483,961342,-0.09 ,879413,9.22 ,9303130,7997163,16.33 ,82,36.05,127.46 
1229,聯華實業,316777,270931,16.92 ,233832,35.47 ,2586891,2479143,4.35 ,22.55,15.15,48.84 
1231,聯華食品,341931,358296,-4.57 ,259021,32.01 ,3609528,3069163,17.61 ,23.35,12.65,84.58 
1232,大統益,1425314,1356053,5.11 ,1274549,11.83 ,12645872,12026396,5.15 ,45.5,37.4,21.66 
1233,天仁,139562,177635,-21.43 ,131287,6.30 ,1550809,1469901,5.50 ,48.4,34.9,38.68 
1234,黑松,275603,304356,-9.45 ,311196,-11.44 ,3657353,3501420,4.45 ,24.7,17.2,43.60 
1235,興泰,31511,44184,-28.68 ,36638,-13.99 ,338260,333877,1.31 ,40.15,31.45,27.66 
1236,宏亞食品,147844,255692,-42.18 ,143359,3.13 ,1637376,1383744,18.33 ,23.25,16.35,42.20 
1301,台塑,15194584,15551056,-2.29 ,14136766,7.48 ,161388633,126923548,27.15 ,87.8,63.2,38.92 
1303,南亞塑膠,16277424,17157259,-5.13 ,14068957,15.70 ,177233042,128763081,37.64 ,68.2,52.4,30.15 
1304,台聚,989978,1004232,-1.42 ,937094,5.64 ,10111462,8617577,17.34 ,26.55,15.55,70.74 
1305,華夏,758558,715257,6.05 ,685281,10.69 ,7109387,6227648,14.16 ,12.25,11.8,3.81 
1307,三芳化工,623027,508129,22.61 ,472905,31.74 ,4934003,4085297,20.77 ,36.25,38.6,-6.09 
1308,亞聚,556989,477340,16.69 ,386806,44.00 ,5246727,3970323,32.15 ,33.7,23.85,41.30 
1309,台達化工,1007697,934118,7.88 ,816568,23.41 ,9129733,6610544,38.11 ,12.75,13.6,-6.25 
1310,台苯,1207810,1105891,9.22 ,1012174,19.33 ,10888496,9628546,13.09 ,14.45,13.75,5.09 
1312,國喬石化,1498098,1348775,11.07 ,1173355,27.68 ,13850483,10251092,35.11 ,16.95,16.7,1.50 
1313,聯成,732521,732417,0.01 ,573429,27.74 ,7240257,4643806,55.91 ,23.2,15.95,45.45 
1314,中石化,3376405,3498883,-3.50 ,2616967,29.02 ,32671925,20444013,59.81 ,25.9,11.85,118.57 
1315,達新工業,206658,215631,-4.16 ,159103,29.89 ,1969401,1843770,6.81 ,23.7,22.9,3.49 
1316,上曜,17334,16872,2.74 ,22552,-23.14 ,158763,185792,-14.55 ,10.55,8.09,30.41 
1319,東陽,1089798,1050342,3.76 ,767708,41.95 ,8395099,6799905,23.46 ,48.65,46.7,4.18 
1321,大洋,459646,462942,-0.71 ,405219,13.43 ,4558431,3939001,15.73 ,22.55,22.35,0.89 
1323,永裕,148486,139656,6.32 ,122614,21.10 ,1330914,1059481,25.62 ,25.1,14.55,72.51 
1324,地球工業,108954,137745,-20.90 ,116736,-6.67 ,1147991,1040018,10.38 ,20.45,14.2,44.01 
1325,恒大,103448,103892,-0.43 ,122979,-15.88 ,904292,816526,10.75 ,25.55,30.05,-14.98 
1326,台化,23413986,21522518,8.79 ,18509069,26.50 ,232484254,178042565,30.58 ,87.8,61.5,42.76 
1402,遠東新,4578366,4223220,8.41 ,3725245,22.90 ,43790079,34309974,27.63 ,44.1,39,13.08 
1409,新纖,2059966,1970943,4.52 ,1558341,32.19 ,21056795,16183001,30.12 ,15.5,8.21,88.79 
1410,南染,24807,31661,-21.65 ,14695,68.81 ,264161,171290,54.22 ,18.5,15.4,20.13 
1413,宏洲化工,356674,324843,9.80 ,299288,19.17 ,3472430,2599825,33.56 ,10.65,2.82,277.66 
1414,東和,103736,113132,-8.31 ,324237,-68.01 ,2728148,2983097,-8.55 ,10.8,6.25,72.80 
1416,廣豐,18258,11805,54.66 ,21895,-16.61 ,204610,203434,0.58 ,14.45,8,80.63 
1417,嘉裕,119199,83832,42.19 ,107794,10.58 ,981375,858471,14.32 ,11.45,6.67,71.66 
1418,東華,431538,263267,63.92 ,156303,176.09 ,2669605,2323138,14.91 ,10.2,10.3,-0.97 
1419,新紡,107666,69957,53.90 ,88425,21.76 ,587755,507549,15.80 ,38.55,31.05,24.15 
1423,利華羊毛,104081,67601,53.96 ,66606,56.26 ,872666,789368,10.55 ,9.03,6.9,30.87 
1432,大魯閣,60,60,0.00 ,162,-62.96 ,854394,18736,4460.17 ,11.65,8,45.63 
1434,福懋興業,2828853,2742761,3.14 ,2497083,13.29 ,27079933,21873666,23.80 ,27.85,22.3,24.89 
1435,中福,1837,1926,-4.62 ,1943,-5.46 ,30460,19044,59.95 ,8.62,4.93,74.85 
1436,福益,793,799,-0.75 ,625,26.88 ,10843,5687,90.66 ,9.17,8.45,8.52 
1437,勤益,132009,148845,-11.31 ,127872,3.24 ,1493400,1214226,22.99 ,21.7,20.65,5.08 
1438,裕豐,6008,11842,-49.27 ,1200,400.67 ,90287,10064,797.13 ,2.33,1.82,28.02 
1439,中和羊毛,47849,48632,-1.61 ,33010,44.95 ,423542,240010,76.47 ,41.5,23.4,77.35 
1440,南紡,1462023,1390468,5.15 ,993268,47.19 ,12444516,9000582,38.26 ,20.15,12.25,64.49 
1441,大東紡織,133741,123754,8.07 ,101644,31.58 ,1306998,1121172,16.57 ,9.21,7.26,26.86 
1442,名軒,125,13927,-99.10 ,218066,-99.94 ,1134960,1298003,-12.56 ,22.1,14.1,56.74 
1443,立益紡織,131987,76404,72.75 ,109311,20.74 ,1246185,1009084,23.50 ,3.88,2.89,34.26 
1444,力麗,787642,810612,-2.83 ,624571,26.11 ,8074207,5866761,37.63 ,18.1,6.83,165.01 
1445,大宇紡織,186828,186705,0.07 ,151871,23.02 ,1774271,1570705,12.96 ,9.82,6.89,42.53 
1446,宏和,75292,83329,-9.64 ,84938,-11.36 ,800180,782230,2.29 ,16.35,8.18,99.88 
1447,力鵬,2481949,2247993,10.41 ,1236121,100.79 ,19671991,14221835,38.32 ,16.15,13.45,20.07 
1449,佳和實業,172917,170445,1.45 ,159174,8.63 ,1674573,1514598,10.56 ,4.82,1.89,155.03 
1451,年興紡織,958082,881807,8.65 ,516893,85.35 ,8182958,6410046,27.66 ,23.35,16.65,40.24 
1452,宏益,197423,179641,9.90 ,134958,46.28 ,1726065,1179740,46.31 ,16.75,7.65,118.95 
1453,大將,39952,38634,3.41 ,15539,157.11 ,368871,267991,37.64 ,12.1,8.89,36.11 
1454,台富,208962,192570,8.51 ,190768,9.54 ,2066046,1664194,24.15 ,9.08,6.11,48.61 
1455,集盛,1599540,1486783,7.58 ,1177599,35.83 ,14061967,10168869,38.28 ,16.45,12.65,30.04 
1456,怡華,182606,176031,3.74 ,147113,24.13 ,1703951,1605909,6.11 ,2.24,1.47,52.38 
1457,宜進,435101,338516,28.53 ,343216,26.77 ,3424410,2628626,30.27 ,11.85,5.47,116.64 
1459,聯發紡織,308469,329827,-6.48 ,219492,40.54 ,2674235,1777941,50.41 ,15.7,8.9,76.40 
1460,宏遠,485582,409770,18.50 ,353160,37.50 ,3855461,3495948,10.28 ,7.63,6.31,20.92 
1463,強盛染整,52086,46241,12.64 ,45387,14.76 ,484438,446571,8.48 ,10.45,6,74.17 
1464,得力實業,198853,146808,35.45 ,128953,54.21 ,1439907,1050068,37.13 ,13.45,6,124.17 
1465,偉全實業,141808,137636,3.03 ,121782,16.44 ,1226763,1099724,11.55 ,18.9,10.5,80.00 
1466,聚隆,598705,466380,28.37 ,304419,96.67 ,4475802,2508673,78.41 ,29.4,6.95,323.02 
1467,南緯實業,368431,376653,-2.18 ,203806,80.78 ,3296726,3062923,7.63 ,12.2,7.78,56.81 
1468,昶和纖維,44058,51599,-14.61 ,50659,-13.03 ,544356,584632,-6.89 ,16.25,10.9,49.08 
1469,理隆纖維,46664,64190,-27.30 ,34818,34.02 ,646872,555536,16.44 ,13.25,8.33,59.06 
1470,大統染,66600,64158,3.81 ,61867,7.65 ,650233,578961,12.31 ,10.8,7.33,47.34 
1471,首利,540678,616863,-12.35 ,896942,-39.72 ,6979286,7023941,-0.64 ,21.65,26.8,-19.22 
1472,三洋纖,97124,83421,16.43 ,80246,21.03 ,732658,452730,61.83 ,8.04,4.95,62.42 
1473,台南企業,477495,520072,-8.19 ,470161,1.56 ,5761159,5281938,9.07 ,41.8,23.1,80.95 
1474,弘裕,350380,296429,18.20 ,216596,61.77 ,2698569,1906614,41.54 ,11.3,6.29,79.65 
1475,本盟光電,80871,78371,3.19 ,18873,328.50 ,686009,197919,246.61 ,13.95,10,39.50 
1476,儒鴻,722266,795856,-9.25 ,559643,29.06 ,6968204,5107736,36.42 ,39.7,19.2,106.77 
1477,聚陽實業,2036303,1639105,24.23 ,1687885,20.64 ,12664344,11449573,10.61 ,70,58.1,20.48 
1503,士電,1233199,1084388,13.72 ,1076684,14.54 ,12010931,14891738,-19.35 ,36.6,39.5,-7.34 
1504,東元電機,1886891,1893793,-0.36 ,1679193,12.37 ,19488824,18477638,5.47 ,19.2,13.2,45.45 
1506,正道,79706,75621,5.40 ,51600,54.47 ,659551,481717,36.92 ,25.2,15.2,65.79 
1507,永大機電,311433,324661,-4.07 ,296466,5.05 ,3081091,3012384,2.28 ,40.55,24.45,65.85 
1512,瑞利,265374,196239,35.23 ,248730,6.69 ,2039381,2321479,-12.15 ,8.36,8.69,-3.80 
1513,中興電,601346,710692,-15.39 ,556765,8.01 ,6212964,6192406,0.33 ,18.45,19.8,-6.82 
1514,亞力電機,268600,303744,-11.57 ,209003,28.51 ,2235382,2296919,-2.68 ,12,9.05,32.60 
1515,力山,263530,363939,-27.59 ,419306,-37.15 ,2843380,2574217,10.46 ,10.1,10,1.00 
1516,川飛,0,79,-100.00 ,39390,-100.00 ,173948,150032,15.94 ,3.1,12.05,-74.27 
1517,利奇機械,147058,190302,-22.72 ,131517,11.82 ,1778097,1349923,31.72 ,14.55,11.15,30.49 
1519,華城電機,738347,522092,41.42 ,241071,206.28 ,3958428,4937446,-19.83 ,22.7,29.25,-22.39 
1521,大億,307234,318135,-3.43 ,339281,-9.45 ,3178374,2424187,31.11 ,67.8,30,126.00 
1522,堤維西,770297,701225,9.85 ,712954,8.04 ,6851463,6616178,3.56 ,19.2,19.95,-3.76 
