公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,99,99,與上月比較增減%,98,與去年同月比較增減%,99,98,與去年同期比較增減%,99.12 ,98.12 ,與去年同期比較增減%
1101,台泥,2171125,1878685,15.57 ,1807880,20.09 ,22097145,20904115,5.71 ,32.80 ,34.00 ,-3.53 
1102,亞泥,1051182,1210075,-13.13 ,833396,26.13 ,9757253,9962152,-2.06 ,32.25 ,34.60 ,-6.79 
1103,嘉泥,203489,176504,15.29 ,188194,8.13 ,2003540,2273120,-11.86 ,17.20 ,18.10 ,-4.97 
1104,環球水泥,321858,274073,17.44 ,296829,8.43 ,3143784,3268415,-3.81 ,18.50 ,17.50 ,5.71 
1108,幸福水泥,255518,246254,3.76 ,262175,-2.54 ,2760164,2824085,-2.26 ,7.92 ,8.95 ,-11.51 
1109,信大水泥,134944,110327,22.31 ,128347,5.14 ,1256041,1419216,-11.50 ,10.25 ,10.50 ,-2.38 
1110,東泥,148986,137734,8.17 ,123543,20.59 ,1447280,1637702,-11.63 ,13.45 ,11.35 ,18.50 
1201,味全公司,1075289,1061007,1.35 ,971976,10.63 ,13237495,12454761,6.28 ,38.20 ,43.60 ,-12.39 
1203,味王公司,183896,162877,12.90 ,187221,-1.78 ,1936577,2726799,-28.98 ,24.50 ,25.75 ,-4.85 
1210,大成長城,1956012,1862010,5.05 ,1819559,7.50 ,21029328,20169940,4.26 ,31.60 ,35.20 ,-10.23 
1213,大飲,51216,42353,20.93 ,43798,16.94 ,676948,659573,2.63 ,26.50 ,9.85 ,169.04 
1215,卜蜂企業,1250767,1267199,-1.30 ,1228776,1.79 ,14039428,12866817,9.11 ,19.90 ,15.55 ,27.97 
1216,統一,4043026,3922178,3.08 ,3432965,17.77 ,48962385,44784071,9.33 ,43.25 ,39.45 ,9.63 
1217,愛之味,179663,201061,-10.64 ,209487,-14.24 ,3620967,3923772,-7.72 ,14.25 ,13.15 ,8.37 
1218,泰山企業,610473,638696,-4.42 ,576063,5.97 ,7271973,7117940,2.16 ,18.50 ,13.05 ,41.76 
1219,福壽實業,788906,843109,-6.43 ,860649,-8.34 ,9002245,9231850,-2.49 ,14.55 ,13.25 ,9.81 
1220,台榮,300155,240101,25.01 ,220551,36.09 ,2776783,2257729,22.99 ,14.05 ,9.10 ,54.40 
1225,福懋油,823067,852832,-3.49 ,717612,14.70 ,8453150,7764262,8.87 ,15.35 ,16.65 ,-7.81 
