公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,100,100,與上月比較增減%,99,與去年同月比較增減%,100,99,與去年同期比較增減%,100.04 ,99.04 ,與去年同期比較增減%
1101,台泥,2137908,2085036,2.54 ,1848309,15.67 ,7972317,7365724,8.24 ,41.95 ,28.30 ,48.23 
1102,亞泥,926706,903106,2.61 ,781108,18.64 ,3357956,3120358,7.61 ,38.30 ,29.60 ,29.39 
1103,嘉泥,89735,150432,-40.35 ,159299,-43.67 ,520087,625526,-16.86 ,18.00 ,15.15 ,18.81 
1104,環球水泥,286879,318716,-9.99 ,284660,0.78 ,1126418,1014261,11.06 ,18.90 ,15.60 ,21.15 
1108,幸福水泥,316469,282921,11.86 ,217244,45.67 ,1054706,880592,19.77 ,7.56 ,8.13 ,-7.01 
1109,信大水泥,142568,116997,21.86 ,100314,42.12 ,455602,405123,12.46 ,10.65 ,10.05 ,5.97 
1110,東泥,122392,137196,-10.79 ,119016,2.84 ,475239,460987,3.09 ,12.75 ,11.85 ,7.59 
1201,味全公司,1123263,1095331,2.55 ,1075394,4.45 ,4225234,3997654,5.69 ,33.50 ,36.70 ,-8.72 
1203,味王公司,179230,184092,-2.64 ,150445,19.13 ,700298,626900,11.71 ,23.25 ,25.20 ,-7.74 
1210,大成長城,1894525,2027686,-6.57 ,1674334,13.15 ,7607282,6895358,10.32 ,35.55 ,31.60 ,12.50 
1213,大飲,49441,38449,28.59 ,44117,12.07 ,201172,211763,-5.00 ,25.95 ,11.50 ,125.65 
1215,卜蜂企業,1242025,1266010,-1.89 ,1169039,6.24 ,4796402,4459245,7.56 ,19.40 ,15.15 ,28.05 
1216,統一,4192389,4086523,2.59 ,3903286,7.41 ,16503605,14695008,12.31 ,41.20 ,35.05 ,17.55 
1217,愛之味,210202,267008,-21.28 ,207415,1.34 ,965342,1172255,-17.65 ,13.80 ,12.20 ,13.11 
1218,泰山企業,584656,640575,-8.73 ,587208,-0.43 ,2355093,2223414,5.92 ,18.25 ,12.80 ,42.58 
1219,福壽實業,771072,838672,-8.06 ,703953,9.53 ,3066313,2799229,9.54 ,16.55 ,12.40 ,33.47 
1220,台榮,230095,295919,-22.24 ,232012,-0.83 ,912332,741816,22.99 ,13.75 ,9.95 ,38.19 
1225,福懋油,740853,793746,-6.66 ,679897,8.97 ,3000191,2654937,13.00 ,15.35 ,14.05 ,9.25 
1227,佳格,1013557,1018562,-0.49 ,934374,8.47 ,4310716,3830539,12.54 ,92.50 ,67.90 ,36.23 
1229,聯華實業,350722,307234,14.15 ,236939,48.02 ,1305281,1018349,28.18 ,21.95 ,18.00 ,21.94 
1231,聯華食品,394780,373847,5.60 ,275476,43.31 ,1734376,1413153,22.73 ,28.20 ,16.05 ,75.70 
