公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,101,101,與上月比較增減%,100,與去年同月比較增減%,101,100,與去年同期比較增減%,101.03 ,100.03 ,與去年同期比較增減%
1101,台泥,2091998,1723441,21.38 ,2085036,0.33 ,5567641,5834409,-4.57 ,34.55 ,36.00 ,-4.03 
1102,亞泥,1138840,784369,45.19 ,903106,26.10 ,2772752,2431250,14.05 ,35.95 ,33.60 ,6.99 
1103,嘉泥,111881,90503,23.62 ,150432,-25.63 ,273764,430353,-36.39 ,13.60 ,17.20 ,-20.93 
1104,環球水泥,342114,273966,24.87 ,318716,7.34 ,843587,839539,0.48 ,14.35 ,18.95 ,-24.27 
1108,幸福水泥,302759,238923,26.72 ,282921,7.01 ,768318,738237,4.07 ,5.96 ,7.53 ,-20.85 
1109,信大水泥,155201,130079,19.31 ,116997,32.65 ,390832,313034,24.85 ,10.70 ,10.30 ,3.88 
1110,東泥,136957,129548,5.72 ,137196,-0.17 ,381823,352847,8.21 ,11.50 ,14.40 ,-20.14 
1201,味全公司,1244891,1022158,21.79 ,1095331,13.65 ,3382155,3101971,9.03 ,32.85 ,32.85 ,0.00 
1203,味王公司,162441,144944,12.07 ,184092,-11.76 ,485297,521068,-6.86 ,21.50 ,22.55 ,-4.66 
1210,大成長城,2054665,1814091,13.26 ,2027686,1.33 ,5726485,5712757,0.24 ,30.20 ,31.15 ,-3.05 
1213,大飲,40941,47032,-12.95 ,38449,6.48 ,170239,151731,12.20 ,25.20 ,27.20 ,-7.35 
1215,卜蜂企業,1255365,1181696,6.23 ,1266010,-0.84 ,3707581,3554378,4.31 ,15.10 ,18.65 ,-19.03 
1216,統一,3864868,3267982,18.26 ,4086523,-5.42 ,11212654,12311216,-8.92 ,40.85 ,39.90 ,2.38 
1217,愛之味,332610,165097,101.46 ,267008,24.57 ,677892,755140,-10.23 ,10.05 ,12.65 ,-20.55 
1218,泰山企業,631005,514205,22.71 ,640575,-1.49 ,1731246,1770438,-2.21 ,15.85 ,17.15 ,-7.58 
1219,福壽實業,872715,695993,25.39 ,838672,4.06 ,2346672,2295241,2.24 ,16.05 ,14.80 ,8.45 
1220,台榮,238848,194251,22.96 ,295919,-19.29 ,639517,682237,-6.26 ,10.50 ,13.70 ,-23.36 
1225,福懋油,911524,695773,31.01 ,793746,14.84 ,2307998,2259338,2.15 ,12.85 ,14.60 ,-11.99 
1227,佳格,905890,865357,4.68 ,1018562,-11.06 ,3014208,3297159,-8.58 ,100.50 ,80.50 ,24.84 
1229,聯華實業,345395,312927,10.38 ,307234,12.42 ,944436,954559,-1.06 ,19.25 ,20.50 ,-6.10 
1231,聯華食品,377166,409434,-7.88 ,373847,0.89 ,1338520,1339596,-0.08 ,37.20 ,25.40 ,46.46 
1232,大統益,1397046,1332607,4.84 ,1527905,-8.56 ,3917395,4086577,-4.14 ,50.50 ,52.00 ,-2.88 
1233,天仁,146229,139266,5.00 ,146267,-0.03 ,516861,529452,-2.38 ,49.10 ,53.70 ,-8.57 
1234,黑松,448658,447517,0.25 ,448924,-0.06 ,1409571,1415632,-0.43 ,37.20 ,23.25 ,60.00 
1235,興泰,29974,28703,4.43 ,28456,5.33 ,79719,84385,-5.53 ,25.85 ,27.20 ,-4.96 
1236,宏亞食品,150016,132180,13.49 ,148386,1.10 ,539069,673559,-19.97 ,25.00 ,23.10 ,8.23 
1301,台塑,17695633,16243897,8.94 ,20088252,-11.91 ,47333950,52131730,-9.20 ,86.90 ,104.50 ,-16.84 
1303,南亞塑膠,16662761,16471314,1.16 ,21136002,-21.16 ,47955233,58588806,-18.15 ,66.70 ,85.90 ,-22.35 
1304,台聚,1164931,1047001,11.26 ,1396788,-16.60 ,3068639,3492965,-12.15 ,29.10 ,40.10 ,-27.43 
1305,華夏,744747,783964,-5.00 ,1013636,-26.53 ,2117129,2394761,-11.59 ,11.65 ,13.25 ,-12.08 
1307,三芳化工,671310,703182,-4.53 ,722164,-7.04 ,1761253,1724896,2.11 ,25.60 ,34.90 ,-26.65 
1308,亞聚,485097,493382,-1.68 ,653624,-25.78 ,1338467,1863277,-28.17 ,38.35 ,50.70 ,-24.36 
1309,台達化工,823849,889507,-7.38 ,1041574,-20.90 ,2463716,2865548,-14.02 ,12.45 ,17.05 ,-26.98 
1310,台苯,1142856,1287758,-11.25 ,1226593,-6.83 ,3694376,3421525,7.97 ,7.90 ,13.70 ,-42.34 
1312,國喬石化,1300235,1592227,-18.34 ,1783491,-27.10 ,4366148,4949772,-11.79 ,13.70 ,17.85 ,-23.25 
1313,聯成,725245,701500,3.38 ,808014,-10.24 ,1942763,1989510,-2.35 ,16.85 ,21.95 ,-23.23 
1314,中石化,3795384,2823548,34.42 ,3610128,5.13 ,9780376,9947997,-1.68 ,33.35 ,37.40 ,-10.83 
1315,達新工業,198113,180480,9.77 ,185475,6.81 ,572226,535400,6.88 ,31.95 ,27.40 ,16.61 
1316,上曜,38875,27488,41.43 ,19266,101.78 ,75652,38149,98.31 ,19.55 ,23.90 ,-18.20 
1319,東陽,1172392,1049472,11.71 ,1209168,-3.04 ,3107280,3167160,-1.89 ,31.40 ,41.30 ,-23.97 
1321,大洋,491910,412417,19.27 ,492155,-0.05 ,1180727,1300858,-9.23 ,21.80 ,20.00 ,9.00 
1323,永裕,157619,123075,28.07 ,157596,0.01 ,409214,390832,4.70 ,20.65 ,23.90 ,-13.60 
1324,地球工業,105757,105581,0.17 ,135350,-21.86 ,308780,376208,-17.92 ,13.45 ,17.15 ,-21.57 
1325,恒大,64894,74604,-13.02 ,108629,-40.26 ,206903,297136,-30.37 ,17.80 ,25.80 ,-31.01 
1326,台化,27922712,27391879,1.94 ,28368283,-1.57 ,79551376,81654847,-2.58 ,86.20 ,112.50 ,-23.38 
1402,遠東新,5466636,5342084,2.33 ,6025435,-9.27 ,15175333,15721005,-3.47 ,34.15 ,46.55 ,-26.64 
1409,新纖,2499816,2619207,-4.56 ,2733905,-8.56 ,6894676,7016987,-1.74 ,10.10 ,13.25 ,-23.77 
1410,南染,28696,26648,7.69 ,34054,-15.73 ,73600,78316,-6.02 ,16.95 ,17.25 ,-1.74 
1413,宏洲化工,461340,357735,28.96 ,487658,-5.40 ,1081818,1253378,-13.69 ,4.84 ,8.94 ,-45.86 
