公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,100,100,與上月比較增減%,99,與去年同月比較增減%,100,99,與去年同期比較增減%,100.10 ,99.10 ,與去年同期比較增減%
1101,台泥,2066932,1994169,3.65 ,1703128,21.36 ,19976943,18047334,10.69 ,37.85 ,32.60 ,16.10 
1102,亞泥,932265,1027035,-9.23 ,769693,21.12 ,8909967,7495996,18.86 ,36.50 ,31.55 ,15.69 
1103,嘉泥,51646,23969,115.47 ,164160,-68.54 ,719461,1623547,-55.69 ,14.90 ,15.50 ,-3.87 
1104,環球水泥,284510,284425,0.03 ,271021,4.98 ,2758756,2547853,8.28 ,15.10 ,19.20 ,-21.35 
1108,幸福水泥,271197,288899,-6.13 ,226055,19.97 ,2674457,2258392,18.42 ,6.14 ,7.51 ,-18.24 
1109,信大水泥,130387,115631,12.76 ,119621,9.00 ,1238716,1010770,22.55 ,10.80 ,10.00 ,8.00 
1110,東泥,113734,97367,16.81 ,126547,-10.13 ,1137707,1160560,-1.97 ,10.65 ,12.20 ,-12.70 
1201,味全公司,1161975,1236898,-6.06 ,1108691,4.81 ,11566103,11101199,4.19 ,33.75 ,34.90 ,-3.30 
1203,味王公司,139359,151566,-8.05 ,144402,-3.49 ,1639627,1589804,3.13 ,21.95 ,24.15 ,-9.11 
1210,大成長城,2044951,2110835,-3.12 ,1716555,19.13 ,19103043,17211306,10.99 ,30.90 ,32.10 ,-3.74 
1213,大飲,45935,54892,-16.32 ,42954,6.94 ,603280,583379,3.41 ,21.00 ,21.15 ,-0.71 
1215,卜蜂企業,1327027,1368124,-3.00 ,1157070,14.69 ,12337936,11521463,7.09 ,15.20 ,19.00 ,-20.00 
1216,統一,4307619,4484161,-3.94 ,4186848,2.88 ,44205801,40997181,7.83 ,41.80 ,39.80 ,5.03 
1217,愛之味,233256,270518,-13.77 ,308734,-24.45 ,2774511,3240243,-14.37 ,10.25 ,13.70 ,-25.18 
1218,泰山企業,613549,773901,-20.72 ,612818,0.12 ,6426934,6022802,6.71 ,16.35 ,18.00 ,-9.17 
1219,福壽實業,943133,983079,-4.06 ,772320,22.12 ,8391536,7370230,13.86 ,17.45 ,14.45 ,20.76 
1220,台榮,280299,300409,-6.69 ,223469,25.43 ,2620577,2236527,17.17 ,10.85 ,13.25 ,-18.11 
1225,福懋油,855086,860591,-0.64 ,852977,0.25 ,7950134,6777551,17.30 ,13.65 ,15.60 ,-12.50 
1227,佳格,1016164,949591,7.01 ,960483,5.80 ,10123139,9303130,8.81 ,98.60 ,82.00 ,20.24 
1229,聯華實業,355305,320159,10.98 ,316777,12.16 ,3336745,2586891,28.99 ,18.70 ,22.55 ,-17.07 
1231,聯華食品,387060,397595,-2.65 ,341931,13.20 ,4292418,3609528,18.92 ,40.05 ,23.35 ,71.52 
1232,大統益,1289157,1433842,-10.09 ,1425314,-9.55 ,13816666,12645872,9.26 ,48.90 ,45.50 ,7.47 
1233,天仁,142844,178880,-20.15 ,139562,2.35 ,1684073,1550809,8.59 ,50.00 ,48.40 ,3.31 
1234,黑松,419222,352465,18.94 ,275603,52.11 ,4650382,3657353,27.15 ,30.00 ,24.70 ,21.46 
1235,興泰,33322,39633,-15.92 ,31511,5.75 ,288488,338260,-14.71 ,25.10 ,40.15 ,-37.48 
1236,宏亞食品,223247,259868,-14.09 ,147844,51.00 ,1912979,1637376,16.83 ,23.05 ,23.25 ,-0.86 
1301,台塑,12619139,13048763,-3.29 ,15194584,-16.95 ,159456009,161388633,-1.20 ,89.00 ,87.80 ,1.37 
1303,南亞塑膠,13669704,14258887,-4.13 ,16277424,-16.02 ,163495597,177233042,-7.75 ,67.90 ,68.20 ,-0.44 
1304,台聚,971149,1086800,-10.64 ,989978,-1.90 ,11288558,10111462,11.64 ,32.30 ,26.55 ,21.66 
1305,華夏,602964,616802,-2.24 ,758558,-20.51 ,7762309,7109387,9.18 ,8.48 ,12.25 ,-30.78 
1307,三芳化工,640857,650990,-1.56 ,623027,2.86 ,5908369,4934003,19.75 ,24.30 ,36.25 ,-32.97 
1308,亞聚,352794,431601,-18.26 ,556989,-36.66 ,5470902,5246727,4.27 ,41.00 ,33.70 ,21.66 
1309,台達化工,861699,931074,-7.45 ,1007697,-14.49 ,9178456,9129733,0.53 ,13.05 ,12.75 ,2.35 
1310,台苯,1269379,995777,27.48 ,1207810,5.10 ,10347750,10888496,-4.97 ,7.70 ,14.45 ,-46.71 
1312,國喬石化,1522605,1584046,-3.88 ,1498098,1.64 ,16356321,13850483,18.09 ,14.95 ,16.95 ,-11.80 
